route_id_original,service_id,trip_id_original,trip_headsign,direction_id,block_id,shape_id_original,wheelchair_accessible,bikes_allowed,agency_raw_name,original_trip_id,trip_short_name,trip_bikes_allowed,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,route_id,trip_id,shape_id
01,WKDY,65SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,907,1.0
01,WKDY,66SFO10,24th St. Mission,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,915,1.0
01,WKDY,67SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,923,1.0
01,WKDY,68SFO10,24th St. Mission,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,931,1.0
01,WKDY,69SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,939,1.0
01,WKDY,70SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,947,1.0
01,WKDY,71SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,955,1.0
01,WKDY,72SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,963,1.0
01,WKDY,73SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,971,1.0
01,WKDY,74SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,979,1.0
01,WKDY,75SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,987,1.0
01,WKDY,76SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,995,1.0
01,WKDY,77SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,999,1.0
01,WKDY,78SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1003,1.0
01,WKDY,79SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1007,1.0
01,WKDY,80SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1011,1.0
01,WKDY,81SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1015,1.0
01,WKDY,82SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1019,1.0
01,WKDY,83SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1023,1.0
01,WKDY,84SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1027,1.0
01,WKDY,85SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1031,1.0
01,WKDY,86SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1035,1.0
01,WKDY,87SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1039,1.0
01,WKDY,88SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1043,1.0
01,WKDY,89SFO10,Millbrae,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,1047,1.0
