stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
785279,62610,,East Cotati Ave. & Santero Way,,38.3317530670004,-122.691745027686,471,,0,,
757513,34500,,Pythian Rd. & Hwy. 12,,38.43444386,-122.5788454,468,,0,,
757506,34000,,Hwy. 12 & Nuns Canyon Rd.,,38.38891191,-122.5231929,469,,0,,
757936,74700,,Snyder Ln. & Keiser,,38.35677569,-122.6858597,471,,0,,
757427,27800,,Agua Caliente Rd. & Lake St.,,38.32390851,-122.4919885,470,,0,,
757470,31300,,Hwy. 12 & 7th St. West,,38.29342576,-122.4724949,470,,0,,
758023,88800,,Conde Ln. & Den Beste Ct.,,38.5342667698,-122.7983706072,463,,0,,
757996,86100,,Lakeville Hwy. & Casa Grande Rd.,,38.23354159,-122.603953,472,,0,,
757965,82500,,Railroad Ave & Toy Ln.,,38.30842079,-122.4900298,470,,0,,
757675,50700,,Old Redwood Hwy. & Page Ave.,,38.3239580120984,-122.703961319609,471,,0,,
757750,56500,,East Cotati Ave. & Petaluma Hill Rd.,,38.3362539,-122.6687535,471,,0,,
757265,14600,,Old Redwood Hwy. & Airport Blvd,,38.51063803,-122.7630671,463,,0,,
757313,17900,,Guerneville Safeway,,38.50182822,-123.0005581,464,,0,,
757778,60800,,Hwy. 116 & Todd Rd. & Old Grvnstn. Hwy.,,38.36787066,-122.7832729,466,,0,,
758082,99000,,Bodega (Westbound),,38.3457563177,-122.9737519628,486,,0,,
758026,89100,,Hembree Ln. & Old Redwood Hwy.,,38.5429659926,-122.7978690485,463,,0,,
757195,09600,,Healdsburg Ave. & Dry Creek Rd.,,38.62504465,-122.8728117,462,,0,,
757564,40250,,Snyder Ln. & Mountain View Ave.,,38.378834,-122.685951,471,,0,,
757093,01700,,Old Redwood Hwy. & La Mancha Apartments,,38.49373114,-122.7439674,463,,0,,
757514,34600,,Pythian Rd. & Oaktrail Dr.,,38.43186861,-122.5803882,468,,0,,
757374,21700,,Sebastopol Rd. & Stony Point Rd.,,38.42661118,-122.7434526,467,,0,,
758049,91500,,Old Redwood Hwy. & Windsor Rd.,,38.552422579,-122.8165654862,463,,0,,
759020,57630,,Fairway Dr. & Holly Ave.,,38.37155685,-122.6964337,471,,0,,
757217,11700,,Old Redwood Hwy. & Shira St.,,38.53907503,-122.7924649,463,,0,,
757735,55000,,N. McDowell Blvd. & Southpoint,,38.26170508,-122.6477803,472,,0,,
757314,18000,,River Rd. & Armstrong Woods Rd.,,38.50196802,-122.996923,464,,0,,
757145,05400,,Healdsburg Ave. & Terrace,,38.62766601,-122.8725195,462,,0,,
757411,26400,,Hwy. 12 & Lawndale Dr.,,38.42939125,-122.5640423,468,,0,,
757471,31400,,Hwy. 12 ,,38.29365842,-122.4749051,470,,0,,
757293,16400,,Mendocino Ave. & Benton,,38.44802358,-122.7177412,467,,0,,
757595,43500,,Commerce Blvd. & Padre Parkway,,38.35011198,-122.7097556,471,,0,,
757277,15700,,Coddingtown,,38.45713299,-122.7324378,467,,0,,
757673,50500,,Old Redwood Hwy. & East Railroad Ave.,,38.31470927,-122.6946934,471,,0,,
757172,07700,,Cloverdale Blvd & Brookside Dr.,,38.79103546,-123.0175593,460,,0,,
757734,54900,,N. McDowell Blvd. & Sunrise Parkway,,38.25964185,-122.6441673,472,,0,,
927,92900,,Heron Dr. & Hummingbird  Ct.,,38.6107386470006,-122.854625828258,462,,0,,
757362,20870,,Mill Station Rd. & Hwy. 116,,38.4124101,-122.8434301,466,,0,,
757982,84700,,Hermosa Pkwy./ Watmaugh,,38.26009485,-122.4866495,470,,0,,
758060,959,,Jefferson St. & W. 4th St.,,38.8070685174,-123.0226078512,550,,0,,
757206,10700,,Starr Rd. & Gumview Rd.,,38.55622282,-122.8262255,463,,0,,
757348,20600,,Healdsburg Ave. & Murphy Ave.,,38.40523618,-122.8325923,466,,0,,
923,93500,,Russian River Trailer Park,,38.6040072429276,-122.862545760244,462,,0,,
757071,00400,,Mendocino Ave. & College Ave.,,38.446148,-122.71756,467,,0,,
757445,29600,,Riverside Dr. & Petaluma Ave.,,38.29401191,-122.4773754,470,,0,,
757849,67500,,Forestville (Downtown),,38.47367409,-122.8929302,465,,0,,
757530,36100,,Hwy. 12 & Middle Rincon Rd.,,38.4640752,-122.6644193,467,,0,,
758034,89900,,Arata Ln. & Troon Ct.,,38.5621757908,-122.8018424119,463,,0,,
758039,90400,,Raley's Shopping Center,,38.5492273512,-122.8051478676,463,,0,,
757104,02000,,Old Redwood Hwy. & Ascot Dr.,,38.50331782,-122.7571013,463,,0,,
757436,28800,,Hwy. 12 & Verano Ave.,,38.30319307,-122.4767272,470,,0,,
757584,42710,,Graton Resort (Redwood Dr. / Golf Course Dr.),,38.3637023219566,-122.714933916077,471,,0,,
757086,01090,,Range Ave. & Steele Ln.,,38.46037227,-122.7326246,467,,0,,
770316,94600,,N. University St. & Monte Vista Ave.,,38.623965322904,-122.863825986269,462,,0,,
757695,51910,,State Farm Dr. & City Hall Dr.,,38.35045232,-122.7058571,471,,0,,
757639,47700,,McDowell Blvd. & Corona Rd.,,38.26729842,-122.6582232,472,,0,,
757330,19000,,Mirabel Rd. Ext. & River Rd.,,38.49324369,-122.8960599,465,,0,,
757811,63600,,Hwy. 116 & Todd Rd.,,38.36997547,-122.7850067,466,,0,,
757495,32900,,Agua Caliente Rd. & Lake St.,,38.32510088,-122.4897554,470,,0,,
757100,01870,,River Rd. & Laughlin Rd.,,38.49311072,-122.7880104,463,,0,,
757662,49500,,Petaluma Blvd. & Corona Rd.,,38.26028752,-122.6611146,472,,0,,
757810,63500,,Hwy. 116 & Lone Pine Rd.,,38.36500561,-122.7809461,466,,0,,
757577,41500,,Santa Rosa Ave. & Todd Rd.,,38.38975155,-122.7137317,467,,0,,
757922,73740,,Fairway/ Country Club,,38.36626523,-122.697851,471,,0,,
757620,46010,,Petaluma Blvd. & Emerald Dr.,,38.26236763,-122.6659093,472,,0,,
757224,12020,,Hembree Ln. & Dove Ln.,,38.536034,-122.798073,463,,0,,
757751,56600,,Sonoma State University,,38.33807478,-122.6750043,471,,0,,
757802,62770,,Bodway & Maurice,,38.33433504,-122.6777819,471,,0,,
757855,68100,,River Rd. & Grays Ct. (Ac. Berry's Market),,38.50918152,-122.9236538,464,,0,,
757906,72500,,RP Expressway & Redwood Dr.,,38.34824865,-122.7180242,471,,0,,
757696,51920,,Kaiser Medical Center,,38.35484583,-122.7079276,471,,0,,
757285,15780,,Administration Dr. & Ventura Ave.,,38.464062,-122.723862,467,,0,,
757949,76600,,Sebastopol Rd. & Wright Rd.,,38.42492172,-122.7685422,467,,0,,
