trip_id,block_id,route_id,service_id,direction_id,shape_id
236,21,e0c3cae,1,0,387a_eb1
237,21,a2c0567,1,0,300a_eb1
238,21,e0c3cae,1,1,387a_wb1
239,21,a652b17,1,0,380a_eb1
240,21,e0c3cae,1,1,387a_wb1
241,21,fc4f8bf,1,1,201a_wb1
242,21,fc4f8bf,1,0,201a_eb1
243,21,c7347cd,1,0,391a_eb1
244,22,e0c3cae,1,1,387a_wb1
245,22,a652b17,1,0,380a_eb1
246,22,3b29cf5,1,0,389a_loop1
247,22,a652b17,1,0,380a_eb1
248,22,a2c0567,1,0,300a_eb1
249,23,a2c0567,1,1,300a_wb1
250,23,a652b17,1,1,380a_wb1
251,23,2eef964,1,0,388a_eb1
252,23,9016482,1,0,385a_eb1a
253,23,c7347cd,1,1,391a_wb1
254,23,2eef964,1,0,388a_eb1
255,23,2eef964,1,1,388a_wb1
256,23,fc4f8bf,1,1,201a_wb1
257,23,fc4f8bf,1,0,201a_eb1
258,23,2eef964,1,0,388a_eb1
259,24,fc3f6b8,1,1,390a_wb1
260,24,c7f28b2,1,1,200a_wb1
261,24,c7f28b2,1,0,200a_eb1
262,24,c7347cd,1,0,391a_eb1
263,24,a2c0567,1,1,300a_wb1
264,24,a652b17,1,1,380a_wb1
265,24,a652b17,1,0,380a_eb1
266,25,3b29cf5,1,0,389a_loop1
267,25,e0c3cae,1,0,387a_eb1
268,25,a652b17,1,1,380a_wb1
269,25,fc4f8bf,1,1,201a_wb1
270,25,fc4f8bf,1,0,201a_eb1
271,25,3b29cf5,1,0,389a_loop1
272,25,a652b17,1,0,380a_eb1
273,25,2eef964,1,1,388a_wb1
274,25,e0c3cae,1,0,387a_eb1
275,26,c7347cd,1,1,391a_wb1
276,26,2eef964,1,0,388a_eb1
277,26,2eef964,1,0,388a_eb1
278,26,2eef964,1,1,388a_wb1
279,26,c7347cd,1,0,391a_eb1
280,27,fc4f8bf,1,1,201a_wb1
281,27,fc4f8bf,1,0,201a_eb1
282,27,fc4f8bf,1,1,201a_wb1
283,27,fc4f8bf,1,0,201a_eb1
284,27,c7347cd,1,0,391a_eb1
285,27,a2c0567,1,1,300a_wb1
286,28,2eef964,1,1,388a_wb1
287,28,a652b17,1,0,380a_eb1
288,28,a652b17,1,1,380a_wb1
289,28,2eef964,1,0,388a_eb1
290,28,2eef964,1,1,388a_wb1
291,28,c7347cd,1,0,391a_eb1
292,28,9016482,1,1,385a_wb1a
293,28,c7347cd,1,0,391a_eb1
294,29,a2c0567,1,1,300a_wb1
295,29,a652b17,1,1,380a_wb1
296,29,e0c3cae,1,0,387a_eb1
297,29,2eef964,1,1,388a_wb1
298,29,e0c3cae,1,0,387a_eb1
299,29,a652b17,1,1,380a_wb1
300,29,e0c3cae,1,0,387a_eb1
301,29,a652b17,1,1,380a_wb1
302,29,3b29cf5,1,0,389a_loop1
