route_id_original,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,route_id
44-193,,44,Lucas Valley - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_44.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,94
45-193,,45,Kaiser Hospital - Northgate - San Rafael,,3,http://marintransit.org/routes/45.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,95
49-193,,49,Novato - San Rafael,,3,http://marintransit.org/routes/49.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,96
54-193,,54,Novato/San Marin - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_54.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,97
56-193,,56,San Marin - San Francisco via Broadway Tunnel,,3,http://goldengatetransit.org/schedules/current/route_56.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,98
58-193,,58,Hamilton/Novato - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_58.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,99
70-193,,70,Novato - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_70.php,3366FF,FFFFFF,GGTransit_2015_9_3,,,,,,100
71-193,,71,Novato - Marin City,,3,http://marintransit.org/routes/71.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,101
72-193,,72,Santa Rosa - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_72.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,102
72X-193,,72X,Santa Rosa - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_72.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,103
74-193,,74,Santa Rosa - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_74.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,104
76-193,,76,East Petaluma - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_76.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,105
92-193,,92,Marin City - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_92.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,107
93-193,,93,Golden Gate Bridge Toll Plaza - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_93.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,108
97-193,,97,Larkspur Ferry Terminal - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_97.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,109
101-193,,101,Santa Rosa - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_101.php,3366FF,FFFFFF,GGTransit_2015_9_3,,,,,,75
101X-193,,101X,Santa Rosa - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_101.php,3366FF,FFFFFF,GGTransit_2015_9_3,,,,,,76
LF-193,,LF,Larkspur - San Francisco Ferry,,2,http://goldengateferry.org/schedules/Larkspur.php,0000FF,FFFFFF,GGTransit_2015_9_3,,,,,,110
SF-193,,SF,Sausalito - San Francisco Ferry,,2,http://goldengateferry.org/schedules/Sausalito.php,0000FF,FFFFFF,GGTransit_2015_9_3,,,,,,111
3652,533,,East Bayshore,,3,http://mvgo.org/east-bayshore-route.html,E38A1B,000000,MVGo_2016_10_26,0,,,,,112
3654,533,,East Whisman AM,,3,http://mvgo.org/east-whisman-route.html,003D84,FFFFFF,MVGo_2016_10_26,0,,,,,113
3655,533,,East Whisman PM,,3,http://mvgo.org/east-whisman-route.html,4A5F9C,FFFFFF,MVGo_2016_10_26,0,,,,,114
3656,533,,West Bayshore,,3,http://mvgo.org/west-bayshore-route.html,378F36,FFFFFF,MVGo_2016_10_26,0,,,,,115
9,MCTD,61,West Marin Stagecoach (South),,3,http://www.marintransit.org/routes/61.html,3161AB,FFFFFF,MarinTransit_2015_8_31,,,,,,152
49,MCTD,66,Muir Woods Shuttle,,3,http://www.marintransit.org/routes/66.html,996633,FFFFFF,MarinTransit_2015_8_31,,,,,,151
10,MCTD,68,West Marin Stagecoach (North),,3,http://www.marintransit.org/routes/68.html,3161AB,FFFFFF,MarinTransit_2015_8_31,,,,,,145
12,MCTD,219,Tiburon Shuttle,,3,http://www.marintransit.org/routes/219.html,A5C73C,FFFFFF,MarinTransit_2015_8_31,,,,,,146
13,MCTD,233,Santa Venetia Shuttle,,3,http://www.marintransit.org/routes/233.html,A5C73C,FFFFFF,MarinTransit_2015_8_31,,,,,,147
14,MCTD,251,Novato Shuttle,,3,http://www.marintransit.org/routes/251.html,A5C73C,FFFFFF,MarinTransit_2015_8_31,,,,,,148
15,MCTD,257,Smith Ranch Road - Ignacio,,3,http://www.marintransit.org/routes/257.html,A5C73C,FFFFFF,MarinTransit_2015_8_31,,,,,,149
16,MCTD,259,Marinwood - Novato,,3,http://www.marintransit.org/routes/259.html,A5C73C,FFFFFF,MarinTransit_2015_8_31,,,,,,150
29,5,50,,,3,,,,RioVista_2015_8_20,,,,,,164
31,5,52,,,3,,,,RioVista_2015_8_20,,,,,,165
10763,SFMTA,1,CALIFORNIA,,3,,,,SFMTA_2015_8_11,,,,,,187
1002,SFMTA,2,Clement,,3,,,,SFMTA_2015_8_11,,,,,,166
1003,SFMTA,3,Jackson,,3,,,,SFMTA_2015_8_11,,,,,,167
1005,SFMTA,5,FULTON,,3,,,,SFMTA_2015_8_11,,,,,,168
1055,SFMTA,5R,FULTON RAPID,,3,,,,SFMTA_2015_8_11,,,,,,182
1006,SFMTA,6,PARNASSUS,,3,,,,SFMTA_2015_8_11,,,,,,169
10774,SFMTA,7X,NORIEGA EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,189
1071,SFMTA,7,HAIGHT - NORIEGA,,3,,,,SFMTA_2015_8_11,,,,,,185
1072,SFMTA,7R,NORIEGA RAPID,,3,,,,SFMTA_2015_8_11,,,,,,186
1110,SFMTA,8,BAYSHORE,,3,,,,SFMTA_2015_8_11,,,,,,240
1108,SFMTA,8AX,Bayshore A Express,,3,,,,SFMTA_2015_8_11,,,,,,238
1109,SFMTA,8BX,Bayshore B Express,,3,,,,SFMTA_2015_8_11,,,,,,239
1900,SFMTA,9,San Bruno,,3,,,,SFMTA_2015_8_11,,,,,,245
1901,SFMTA,9R,SAN BRUNO RAPID,,3,,,,SFMTA_2015_8_11,,,,,,246
1010,SFMTA,10,Townsend,,3,,,,SFMTA_2015_8_11,,,,,,170
1012,SFMTA,12,FOLSOM/PACIFIC,,3,,,,SFMTA_2015_8_11,,,,,,171
10773,SFMTA,14,MISSION,,3,,,,SFMTA_2015_8_11,,,,,,188
10775,SFMTA,57,PARKMERCED,,3,,,,SFMTA_2015_8_11,,,,,,190
10776,SFMTA,18,46TH AVENUE,,3,,,,SFMTA_2015_8_11,,,,,,191
10777,SFMTA,19,POLK,,3,,,,SFMTA_2015_8_11,,,,,,192
10778,SFMTA,21,HAYES,,3,,,,SFMTA_2015_8_11,,,,,,193
10779,SFMTA,22,FILLMORE,,3,,,,SFMTA_2015_8_11,,,,,,194
10780,SFMTA,23,MONTEREY,,3,,,,SFMTA_2015_8_11,,,,,,195
10781,SFMTA,24,DIVISADERO,,3,,,,SFMTA_2015_8_11,,,,,,196
10782,SFMTA,27,BRYANT,,3,,,,SFMTA_2015_8_11,,,,,,197
1028,SFMTA,28,19TH AVENUE,,3,,,,SFMTA_2015_8_11,,,,,,172
1029,SFMTA,28R,19TH AVENUE Rapid,,3,,,,SFMTA_2015_8_11,,,,,,173
10784,SFMTA,29,SUNSET,,3,,,,SFMTA_2015_8_11,,,,,,198
1030,SFMTA,30,STOCKTON,,3,,,,SFMTA_2015_8_11,,,,,,174
1045,SFMTA,45,STOCKTON - UNION,,3,,,,SFMTA_2015_8_11,,,,,,181
10787,SFMTA,31,BALBOA,,3,,,,SFMTA_2015_8_11,,,,,,199
10788,SFMTA,33,ASHBURY-18TH,,3,,,,SFMTA_2015_8_11,,,,,,200
10789,SFMTA,35,EUREKA,,3,,,,SFMTA_2015_8_11,,,,,,201
10790,SFMTA,36,TERESITA,,3,,,,SFMTA_2015_8_11,,,,,,202
10791,SFMTA,37,CORBETT,,3,,,,SFMTA_2015_8_11,,,,,,203
10792,SFMTA,38,GEARY,,3,,,,SFMTA_2015_8_11,,,,,,204
10793,SFMTA,39,COIT TOWER,,3,,,,SFMTA_2015_8_11,,,,,,205
10794,SFMTA,41,UNION,,3,,,,SFMTA_2015_8_11,,,,,,206
10795,SFMTA,43,MASONIC,,3,,,,SFMTA_2015_8_11,,,,,,207
10796,SFMTA,44,O'SHAUGHNESSY,,3,,,,SFMTA_2015_8_11,,,,,,208
10798,SFMTA,47,VAN NESS,,3,,,,SFMTA_2015_8_11,,,,,,209
10799,SFMTA,48,24TH STREET,,3,,,,SFMTA_2015_8_11,,,,,,210
10800,SFMTA,49,VAN NESS-MISSION,,3,,,,SFMTA_2015_8_11,,,,,,211
10801,SFMTA,52,EXCELSIOR,,3,,,,SFMTA_2015_8_11,,,,,,212
10802,SFMTA,54,FELTON,,3,,,,SFMTA_2015_8_11,,,,,,213
10803,SFMTA,55,16TH STREET,,3,,,,SFMTA_2015_8_11,,,,,,214
10804,SFMTA,56,RUTLAND,,3,,,,SFMTA_2015_8_11,,,,,,215
1059,SFMTA,Powell-Mason,,,5,,,,SFMTA_2015_8_11,,,,,,183
1060,SFMTA,Powell-Hyde,,,5,,,,SFMTA_2015_8_11,,,,,,184
10807,SFMTA,CALIFORNIA,,,5,,,,SFMTA_2015_8_11,,,,,,216
10808,SFMTA,66,QUINTARA,,3,,,,SFMTA_2015_8_11,,,,,,217
10809,SFMTA,67,BERNAL HEIGHTS,,3,,,,SFMTA_2015_8_11,,,,,,218
1081,SFMTA,81X,CALTRAIN EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,219
1082,SFMTA,82X,LEVI PLAZA EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,224
10813,SFMTA,83X,MID MARKET EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,220
10814,SFMTA,88,BART SHUTTLE,,3,,,,SFMTA_2015_8_11,,,,,,221
10815,SFMTA,90,SAN BRUNO OWL,,3,,,,SFMTA_2015_8_11,,,,,,222
10816,SFMTA,91,3RD/19TH AVE OWL,,3,,,,SFMTA_2015_8_11,,,,,,223
1094,SFMTA,J,CHURCH,,0,,,,SFMTA_2015_8_11,,,,,,233
1093,SFMTA,N,JUDAH,,0,,,,SFMTA_2015_8_11,,,,,,232
1102,SFMTA,K-OWL,,,3,,,,SFMTA_2015_8_11,,,,,,235
1103,SFMTA,L-OWL,,,3,,,,SFMTA_2015_8_11,,,,,,236
1105,SFMTA,N-OWL,,,3,,,,SFMTA_2015_8_11,,,,,,237
1198,SFMTA,L,TARAVAL,,0,,,,SFMTA_2015_8_11,,,,,,243
1196,SFMTA,KT,INGLESIDE/THIRD,,0,,,,SFMTA_2015_8_11,,,,,,241
1199,SFMTA,M,OCEAN VIEW,,0,,,,SFMTA_2015_8_11,,,,,,244
1197,SFMTA,S,CASTRO SHUTTLE,,0,,,,SFMTA_2015_8_11,,,,,,242
10820,SFMTA,F,MARKET & WHARVES,,0,,,,SFMTA_2015_8_11,,,,,,225
1033,SFMTA,1AX,CALIFORNIA A EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,177
1034,SFMTA,1BX,CALIFORNIA B EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,178
1031,SFMTA,31AX,BALBOA A EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,175
1032,SFMTA,31BX,BALBOA B EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,176
1038,SFMTA,38AX,GEARY A EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,179
1039,SFMTA,38BX,GEARY B EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,180
10822,SFMTA,25,TREASURE ISLAND,,3,,,,SFMTA_2015_8_11,,,,,,226
10823,SFMTA,14R,MISSION RAPID,,3,,,,SFMTA_2015_8_11,,,,,,227
10824,SFMTA,30X,MARINA EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,228
10825,SFMTA,38R,GEARY RAPID,,3,,,,SFMTA_2015_8_11,,,,,,229
10836,SFMTA,NX,N EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,230
10849,SFMTA,14X,MISSION EXPRESS,,3,,,,SFMTA_2015_8_11,,,,,,231
11011,SFMTA,Muni Metro Bus Shuttle,,,3,,,,SFMTA_2015_8_11,,,,,,234
11-137,,11,Southgate/Lakeshire - Gateway/Hickey,,3,,,,SamTrans_2015_8_20,,,,,,253
14-137,,14,Linda Mar Circulator,,3,,,,SamTrans_2015_8_20,,,,,,263
16-137,,16,Serramonte Center - Terra Nova High,,3,,,,SamTrans_2015_8_20,,,,,,266
17-133,,17,Linda Mar Park & Ride - Pescadero,,3,,,,SamTrans_2015_8_20,,,,,,267
19-137,,19,Lacy School - Linda Mar Park & Ride,,3,,,,SamTrans_2015_8_20,,,,,,268
24-137,,24,Brisbane - Westmoor High,,3,,,,SamTrans_2015_8_20,,,,,,269
25-137,,25,Los Olivos/Santa Barbara - Ben Franklin School,,3,,,,SamTrans_2015_8_20,,,,,,270
28-137,,28,Serramonte Center - South City High,,3,,,,SamTrans_2015_8_20,,,,,,281
29-137,,29,Lipman School - Templeton/Brunswick,,3,,,,SamTrans_2015_8_20,,,,,,285
35-137,,35,El Camino High - Warwick/Christen,,3,,,,SamTrans_2015_8_20,,,,,,291
37-137,,37,Hillside/Grove - Alta Loma School,,3,,,,SamTrans_2015_8_20,,,,,,292
38-137,,38,Safe Harbor Shelter,,3,,,,SamTrans_2015_8_20,,,,,,293
39-137,,39,Alta Loma School - Hazelwood/Kenwood,,3,,,,SamTrans_2015_8_20,,,,,,294
43-137,,43,Murchison & Magnolia - San Bruno BART,,3,,,,SamTrans_2015_8_20,,,,,,297
46-137,,46,Burlingame School - Carolan (Burlingame Caltrain),,3,,,,SamTrans_2015_8_20,,,,,,298
49-137,,49,Airport/San Bruno - Terra Nova High,,3,,,,SamTrans_2015_8_20,,,,,,299
53-137,,53,Peninsula/Humboldt - Borel MS,,3,,,,SamTrans_2015_8_20,,,,,,300
54-137,,54,Bowditch School - Hillsdale/Norfolk,,3,,,,SamTrans_2015_8_20,,,,,,301
55-137,,55,Clark/El Camino - Borel MS,,3,,,,SamTrans_2015_8_20,,,,,,302
57-137,,57,Edgewater/Beach Park - Hillsdale High,,3,,,,SamTrans_2015_8_20,,,,,,303
58-137,,58,Borel School - Polhemus/Paul Scannell,,3,,,,SamTrans_2015_8_20,,,,,,304
59-137,,59,Hillsdale/Norfolk - Aragon High,,3,,,,SamTrans_2015_8_20,,,,,,305
60-137,,60,Ralston School - Bridge/Bowsprit via Chula Vista,,3,,,,SamTrans_2015_8_20,,,,,,306
62-137,,62,Hillsdale - Alameda & Ralston,,3,,,,SamTrans_2015_8_20,,,,,,307
67-137,,67,Bridge/Bowsprit - Ralston School,,3,,,,SamTrans_2015_8_20,,,,,,308
68-137,,68,Hiller/Wessex - Ralston School,,3,,,,SamTrans_2015_8_20,,,,,,309
72-137,,72,Malborough/Dumbarton - Selby Lane School,,3,,,,SamTrans_2015_8_20,,,,,,310
73-137,,73,"""G"" & Industrial - Clifford School",,3,,,,SamTrans_2015_8_20,,,,,,311
79-137,,79,Kennedy MS - Florence/17th,,3,,,,SamTrans_2015_8_20,,,,,,312
80-137,,80,Oak Knoll ES - Santa Cruz/Elder,,3,,,,SamTrans_2015_8_20,,,,,,313
82-137,,82,Bay/Marsh - Hillview School,,3,,,,SamTrans_2015_8_20,,,,,,314
83-137,,83,Bay/Menlo Oaks - Hillview School,,3,,,,SamTrans_2015_8_20,,,,,,315
84-137,,84,Middlefield/Lane - Hillview School,,3,,,,SamTrans_2015_8_20,,,,,,316
85-137,,85,Ormondale School - La Honda/Grandview,,3,,,,SamTrans_2015_8_20,,,,,,317
86-137,,86,Florence/17th - Indian Crossing/Alpine,,3,,,,SamTrans_2015_8_20,,,,,,318
87-137,,87,Woodside High - Portola Valley,,3,,,,SamTrans_2015_8_20,,,,,,319
88-137,,88,Bay/Marsh - Encinal School,,3,,,,SamTrans_2015_8_20,,,,,,320
89-137,,89,Encinal School - Santa Monica/San Andreas,,3,,,,SamTrans_2015_8_20,,,,,,321
95-137,,95,Redwood City Caltrain - Ralston/Alameda,,3,,,,SamTrans_2015_8_20,,,,,,322
110-137,,110,Daly City BART - Linda Mar Park & Ride,,3,,,,SamTrans_2015_8_20,,,,,,254
112-137,,112,Colma BART - Linda Mar Park & Ride,,3,,,,SamTrans_2015_8_20,,,,,,255
118-137,,118,Linda Mar Park & Ride - Colma BART,,3,,,,SamTrans_2015_8_20,,,,,,256
120-137,,120,Colma BART - Brunswick/Templeton,,3,,,,SamTrans_2015_8_20,,,,,,257
121-137,,121,Lowell/Hanover - Skyline College,,3,,,,SamTrans_2015_8_20,,,,,,258
122-137,,122,South SF BART - Stonestown/SF State,,3,,,,SamTrans_2015_8_20,,,,,,259
130-137,,130,Daly City BART - Colma BART,,3,,,,SamTrans_2015_8_20,,,,,,260
131-137,,131,Airport/Linden - Serramonte Center,,3,,,,SamTrans_2015_8_20,,,,,,261
133-137,,133,Airport/Linden - San Bruno BART,,3,,,,SamTrans_2015_8_20,,,,,,262
140-137,,140,Airtrain - West Manor/Palmetto,,3,,,,SamTrans_2015_8_20,,,,,,264
141-137,,141,San Bruno BART - Shelter Creek,,3,,,,SamTrans_2015_8_20,,,,,,265
250-137,,250,5th/El Camino - College of San Mateo,,3,,,,SamTrans_2015_8_20,,,,,,271
251-137,,251,Foster City - Hillsdale Mall,,3,,,,SamTrans_2015_8_20,,,,,,272
252-137,,252,Downtown San Mateo - North San Mateo Loop,,3,,,,SamTrans_2015_8_20,,,,,,273
256-137,,256,Foster City - Hillsdale Mall,,3,,,,SamTrans_2015_8_20,,,,,,274
260-137,,260,San Carlos Caltrain - College of San Mateo,,3,,,,SamTrans_2015_8_20,,,,,,275
270-137,,270,Redwood City Caltrain - Florence/17th loop,,3,,,,SamTrans_2015_8_20,,,,,,276
273-137,,273,Cordilleras Ctr - Redwood City Transit Ctr,,3,,,,SamTrans_2015_8_20,,,,,,277
274-137,,274,Redwood City Transit Ctr - Canada College,,3,,,,SamTrans_2015_8_20,,,,,,278
275-137,,275,Redwood City Transit Ctr - Alameda/Woodside,,3,,,,SamTrans_2015_8_20,,,,,,279
276-137,,276,Redwood City Transit Ctr - Florence/17th,,3,,,,SamTrans_2015_8_20,,,,,,280
280-137,,280,Purdue/Fordham - Stanford Mall,,3,,,,SamTrans_2015_8_20,,,,,,282
281-137,,281,Onetta Harris Ctr - Stanford Mall,,3,,,,SamTrans_2015_8_20,,,,,,283
286-137,,286,Ringwood/Arlington - Monte Rosa/Eastridge,,3,,,,SamTrans_2015_8_20,,,,,,284
292-137,,292,San Francisco - SFO - Hillsdale Mall,,3,,,,SamTrans_2015_8_20,,,,,,286
294-137,,294,SM Med Ctr - Hillsdale - CSM - Half Moon Bay,,3,,,,SamTrans_2015_8_20,,,,,,287
295-137,,295,San Mateo Caltrain - San Carlos Caltrain,,3,,,,SamTrans_2015_8_20,,,,,,288
