route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
4817,4047A5370,595186A4047B5370,,Loop,0,4_holeve,3,1
4820,3962A5279,585016A3962B5279,,Loop,0,31,1,1
4817,4047A5370,595178A4047B5370,,Loop,0,5_holeve,3,1
4820,3961A5279,584945A3961B5279,,Loop,0,25,1,1
4819,3903A5279,584549A3903B5279,,Loop,0,10,8,1
4820,4047A5372,595123A4047B5372,,Loop,0,4_poeve,1,1
4817,3903A5279,584463A3903B5279,,Loop,0,3,3,1
4817,4046A5368,595094A4046B5368,,Loop,0,4_holfat,3,1
4817,3903A5279,584464A3903B5279,,Loop,0,2,3,1
4817,4047A5370,595181A4047B5370,,Loop,0,5_holeve,3,1
4820,4047A5370,595109A4047B5370,,Loop,0,2_poeve,1,1
4817,4047A5370,595197A4047B5370,,Loop,0,6_holeve,3,1
4818,3903A5279,584501A3903B5279,,Loop,0,2,2,1
4819,3903A5279,584537A3903B5279,,Loop,0,10,8,1
4817,4047A5371,595174A4047B5371,,Loop,0,4_holeve,3,1
4820,3961A5279,584957A3961B5279,,Loop,0,27,1,1
4820,4047A5369,595121A4047B5369,,Loop,0,2_poeve,1,1
4817,3903A5279,584468A3903B5279,,Loop,0,11,3,1
4820,3962A5279,585017A3962B5279,,Loop,0,32,1,1
4818,3903A5279,584508A3903B5279,,Loop,0,6,2,1
4820,4047A5369,595115A4047B5369,,Loop,0,4_poeve,1,1
4820,4047A5372,595113A4047B5372,,Loop,0,2_poeve,1,1
4822,3903A5279,584795A3903B5279,,Loop,0,19,6,1
4817,4047A5372,595170A4047B5372,,Loop,0,3_holeve,3,1
4817,4047A5370,595166A4047B5370,,Loop,0,2_holeve,3,1
4820,4046A5368,594805A4046B5368,,Loop,0,1_shelpofat,1,1
4817,4046A5367,595063A4046B5367,,Loop,0,3_holfat,3,1
4819,3903A5279,584538A3903B5279,,Loop,0,8,8,1
4817,4046A5367,595069A4046B5367,,Loop,0,3_holfat,3,1
4818,3903A5279,584495A3903B5279,,Loop,0,3,2,1
4817,4047A5369,595159A4047B5369,,Loop,0,1_holeve,3,1
4821,3903A5279,584769A3903B5279,,South Shell/Powell – The Marina,0,20,7,1
4820,4046A5368,594821A4046B5368,,Loop,0,1_shelpofat,1,1
4820,4046A5367,594795A4046B5367,,Loop,0,3_shelpofat,1,1
4819,3903A5279,584550A3903B5279,,Loop,0,8,8,1
4822,3903A5279,584791A3903B5279,,Loop,0,18,6,1
4819,3903A5279,584525A3903B5279,,Loop,0,10,8,1
4817,4047A5370,595169A4047B5370,,Loop,0,2_holeve,3,1
