timetable_id,stop_id,stop_sequence,stop_name,connected_routes
8,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
8,785025,1,E. Madison St. east of Novak Dr. (Sr Center),3-No direction
8,785028,2,Maria Dr. south of Rainier Drive,3-No direction
8,785034,3,Sonoma Mtn Parkway south of Riesling Rd.,"3-No direction, 3S-No direction, 3T-No direction"
8,785198,4,Sonoma Mtn Parkway west of E Washington St. ,"3-No direction, 3S-No direction, 3T-No direction"
8,785059,5,Ely Blvd. S. at Caulifield Lane,"3-No direction, 3S-No direction, 3T-No direction"
8,785060,6,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
8,785067,7,S. McDowell Blvd. north of Caulfield Ln.,"3-No direction, 3S-No direction, 3T-No direction"
8,785023,8,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
9,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
9,785070,1,S. McDowell Blvd. at Lombardi Ave.,"33-No direction, 33T-No direction"
9,785075,2,Casa Grande Rd. east of Sartori Dr.,"24-No direction, 33-No direction, 33T-No direction"
9,785079,3,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
9,785041,4,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
9,785047,5,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
9,785053,6,Maria Dr. south of Rainier Ave.,"33-No direction, 33T-No direction"
9,785026,7,E. Madison St. east of Novak Dr. (SR. Center),"33-No direction, 33T-No direction"
9,785023,8,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
10,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
10,785070,1,S. McDowell Blvd. at Lombardi Ave.,"33-No direction, 33T-No direction"
10,785075,2,Casa Grande Rd. east of Sartori Dr.,"24-No direction, 33-No direction, 33T-No direction"
10,785079,3,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
10,785041,4,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
10,785047,5,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
10,785053,6,Maria Dr. south of Rainier Ave.,"33-No direction, 33T-No direction"
10,785026,7,E. Madison St. east of Novak Dr. (SR. Center),"33-No direction, 33T-No direction"
10,785023,8,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
11,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
11,785070,1,S. McDowell Blvd. at Lombardi Ave.,"33-No direction, 33T-No direction"
11,785075,2,Casa Grande Rd. east of Sartori Dr.,"24-No direction, 33-No direction, 33T-No direction"
11,785079,3,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
11,785041,4,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
11,785047,5,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
11,785053,6,Maria Dr. south of Rainier Ave.,"33-No direction, 33T-No direction"
11,785026,7,E. Madison St. east of Novak Dr. (SR. Center),"33-No direction, 33T-No direction"
11,785023,8,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
12,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
12,784987,1,E. Washington St. west of Ellis St. (Swim Center),"11-Northbound, 33T-No direction"
12,785023,2,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
13,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
13,784987,1,E. Washington St. west of Ellis St. (Swim Center),"11-Northbound, 33T-No direction"
13,785023,2,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
14,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
14,784987,1,E. Washington St. west of Ellis St. (Swim Center),"11-Northbound, 33T-No direction"
14,785023,2,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
15,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
15,784988,1,E. Washington St. west of Ellis St.,"11-Southbound, 24-No direction, 3S-No direction, 3T-No direction"
15,784983,2,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
15,784980,3,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
16,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
16,784988,1,E. Washington St. west of Ellis St.,"11-Southbound, 24-No direction, 3S-No direction, 3T-No direction"
16,784983,2,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
16,784980,3,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
17,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
17,784988,1,E. Washington St. west of Ellis St.,"11-Southbound, 24-No direction, 3S-No direction, 3T-No direction"
17,784983,2,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
17,784980,3,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
18,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
18,785201,1,Lindberg Lane east of S. Payran,24-No direction
18,784978,2,Kenilworth Dr. at Target Shopping Center,24-No direction
18,785119,3,Caulfield Ln. north of Lakeville Hwy,24-No direction
18,785075,4,Casa Grande Rd. east of Sartori Dr.,"24-No direction, 33-No direction, 33T-No direction"
18,785110,5,Lakeville Apartment #2 on Frates Rd.,24-No direction
18,785115,6,Lakeville Hwy east of Casa Grande Rd. (USA Gas),24-No direction
18,785201,7,Lindberg Lane east of S. Payran,24-No direction
18,784978,8,Kenilworth Dr. at Target Shopping Center,24-No direction
18,784980,9,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
19,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
19,785119,1,Caulfield Ln. north of Lakeville Hwy,24-No direction
19,785075,2,Casa Grande Rd. east of Sartori Dr.,"24-No direction, 33-No direction, 33T-No direction"
19,785110,3,Lakeville Apartment #2 on Frates Rd.,24-No direction
19,785111,4,Kaiser Medical Center on Cypress Dr.,24-No direction
19,785115,5,Lakeville Hwy east of Casa Grande Rd. (USA Gas),24-No direction
19,785201,6,Lindberg Lane east of S. Payran,24-No direction
19,784978,7,Kenilworth Dr. at Target Shopping Center,24-No direction
19,784980,8,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
20,785002,0,Bantam Way at Petaluma Junior High,5-No direction
20,784982,1,Keller Street north of Western (Petaluma Market),"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
20,785015,2,Petaluma Blvd. N. south of Magnolia Ave.,"1-No direction, 5-No direction"
20,784983,3,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
20,784992,4,Petaluma Blvd. S south of Mtn View Ave.,"1-No direction, 5-No direction"
20,785000,5,Sunnyslope Rd West of I St,5-No direction
20,785001,6,Fair Street West of Douglas St. (Petaluma High School),5-No direction
20,785002,7,Bantam Way at Petaluma Junior High,5-No direction
21,785002,0,Bantam Way at Petaluma Junior High,5-No direction
21,784982,1,Keller Street north of Western (Petaluma Market),"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
21,785015,2,Petaluma Blvd. N. south of Magnolia Ave.,"1-No direction, 5-No direction"
21,784983,3,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
21,784992,4,Petaluma Blvd. S south of Mtn View Ave.,"1-No direction, 5-No direction"
21,785000,5,Sunnyslope Rd West of I St,5-No direction
21,785001,6,Fair Street West of Douglas St. (Petaluma High School),5-No direction
21,785002,7,Bantam Way at Petaluma Junior High,5-No direction
22,785013,0,Petaluma Blvd. N south of Factory Outlets,"1-No direction, 5-No direction"
22,785015,1,Petaluma Blvd. N. south of Magnolia Ave.,"1-No direction, 5-No direction"
22,784982,2,Keller Street north of Western (Petaluma Market),"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
22,784983,3,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
22,784992,4,Petaluma Blvd. S south of Mtn View Ave.,"1-No direction, 5-No direction"
22,785000,5,Sunnyslope Rd West of I St,5-No direction
22,785001,6,Fair Street West of Douglas St. (Petaluma High School),5-No direction
22,785002,7,Bantam Way at Petaluma Junior High,5-No direction
22,785003,8,Bodega Ave. east of Bantam Way,5-No direction
23,785056,0,Dover Lane at Kenilworth JHS,"33T-No direction, 3S-No direction, 3T-No direction"
23,785198,1,Sonoma Mtn Parkway west of E Washington St. ,"3-No direction, 3S-No direction, 3T-No direction"
23,785059,2,Ely Blvd. S. at Caulifield Lane,"3-No direction, 3S-No direction, 3T-No direction"
23,785060,3,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
23,785067,4,S. McDowell Blvd. north of Caulfield Ln.,"3-No direction, 3S-No direction, 3T-No direction"
23,785023,5,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
24,785056,0,Dover Lane at Kenilworth JHS,"33T-No direction, 3S-No direction, 3T-No direction"
24,785198,1,Sonoma Mtn Parkway west of E Washington St. ,"3-No direction, 3S-No direction, 3T-No direction"
24,785059,2,Ely Blvd. S. at Caulifield Lane,"3-No direction, 3S-No direction, 3T-No direction"
24,785060,3,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
24,785067,4,S. McDowell Blvd. north of Caulfield Ln.,"3-No direction, 3S-No direction, 3T-No direction"
24,785023,5,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
25,785034,0,Sonoma Mtn Parkway south of Riesling Rd.,"3-No direction, 3S-No direction, 3T-No direction"
25,785198,1,Sonoma Mtn Parkway west of E Washington St. ,"3-No direction, 3S-No direction, 3T-No direction"
25,785059,2,Ely Blvd. S. at Caulifield Lane,"3-No direction, 3S-No direction, 3T-No direction"
25,785060,3,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
25,785067,4,S. McDowell Blvd. north of Caulfield Ln.,"3-No direction, 3S-No direction, 3T-No direction"
25,785023,5,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
26,785056,0,Dover Lane at Kenilworth JHS,"33T-No direction, 3S-No direction, 3T-No direction"
26,785198,1,Sonoma Mtn Parkway west of E Washington St. ,"3-No direction, 3S-No direction, 3T-No direction"
26,785059,2,Ely Blvd. S. at Caulifield Lane,"3-No direction, 3S-No direction, 3T-No direction"
26,785060,3,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
26,784988,4,E. Washington St. west of Ellis St.,"11-Southbound, 24-No direction, 3S-No direction, 3T-No direction"
26,784983,5,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
27,785056,0,Dover Lane at Kenilworth JHS,"33T-No direction, 3S-No direction, 3T-No direction"
27,785198,1,Sonoma Mtn Parkway west of E Washington St. ,"3-No direction, 3S-No direction, 3T-No direction"
27,785059,2,Ely Blvd. S. at Caulifield Lane,"3-No direction, 3S-No direction, 3T-No direction"
27,785060,3,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
27,784988,4,E. Washington St. west of Ellis St.,"11-Southbound, 24-No direction, 3S-No direction, 3T-No direction"
27,784983,5,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
28,785060,0,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
28,785079,1,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
28,785041,2,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
28,785047,3,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
28,785053,4,Maria Dr. south of Rainier Ave.,"33-No direction, 33T-No direction"
28,785026,5,E. Madison St. east of Novak Dr. (SR. Center),"33-No direction, 33T-No direction"
28,785023,6,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
29,785060,0,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
29,785079,1,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
29,785041,2,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
29,785047,3,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
29,785053,4,Maria Dr. south of Rainier Ave.,"33-No direction, 33T-No direction"
29,785026,5,E. Madison St. east of Novak Dr. (SR. Center),"33-No direction, 33T-No direction"
29,785023,6,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
30,784987,0,E. Washington St. west of Ellis St. (Swim Center),"11-Northbound, 33T-No direction"
30,785023,1,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
30,785070,2,S. McDowell Blvd. at Lombardi Ave.,"33-No direction, 33T-No direction"
30,785075,3,Casa Grande Rd. east of Sartori Dr.,"24-No direction, 33-No direction, 33T-No direction"
30,785079,4,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
30,785041,5,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
30,785056,6,Dover Lane at Kenilworth JHS,"33T-No direction, 3S-No direction, 3T-No direction"
31,785060,0,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
31,785079,1,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
31,785041,2,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
31,785047,3,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
31,785102,4,N. McDowell Blvd. south of Southpoint Blvd.,"2-Southbound, 33M-No direction"
31,785107,5,N. McDowell Blvd. at Petaluma Plaza S.C. North,"2-Southbound, 33M-No direction"
31,785023,6,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
32,785060,0,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
32,785079,1,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
32,785041,2,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
32,785047,3,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
32,785102,4,N. McDowell Blvd. south of Southpoint Blvd.,"2-Southbound, 33M-No direction"
32,785107,5,N. McDowell Blvd. at Petaluma Plaza S.C. North,"2-Southbound, 33M-No direction"
32,785023,6,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
33,785002,0,Bantam Way at Petaluma Junior High,5-No direction
33,784982,1,Keller Street north of Western (Petaluma Market),"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
33,785015,2,Petaluma Blvd. N. south of Magnolia Ave.,"1-No direction, 5-No direction"
33,784983,3,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
33,784992,4,Petaluma Blvd. S south of Mtn View Ave.,"1-No direction, 5-No direction"
33,785000,5,Sunnyslope Rd West of I St,5-No direction
33,785001,6,Fair Street West of Douglas St. (Petaluma High School),5-No direction
33,785002,7,Bantam Way at Petaluma Junior High,5-No direction
34,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
34,785008,1,Petaluma Blvd. N north of Factory Outlets,"1-No direction, 5-No direction"
34,785015,2,Petaluma Blvd. N. south of Magnolia Ave.,"1-No direction, 5-No direction"
34,784982,3,Keller Street north of Western (Petaluma Market),"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
34,784983,4,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
34,784992,5,Petaluma Blvd. S south of Mtn View Ave.,"1-No direction, 5-No direction"
34,784980,6,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
35,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
35,785025,1,E. Madison St. east of Novak Dr. (Sr Center),3-No direction
35,785028,2,Maria Dr. south of Rainier Drive,3-No direction
35,785034,3,Sonoma Mtn Parkway south of Riesling Rd.,"3-No direction, 3S-No direction, 3T-No direction"
35,785198,4,Sonoma Mtn Parkway west of E Washington St. ,"3-No direction, 3S-No direction, 3T-No direction"
35,785059,5,Ely Blvd. S. at Caulifield Lane,"3-No direction, 3S-No direction, 3T-No direction"
35,785060,6,Ely Blvd  S. south of Juliet (Casa Grande HS Main),"33M-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
35,785067,7,S. McDowell Blvd. north of Caulfield Ln.,"3-No direction, 3S-No direction, 3T-No direction"
35,785023,8,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
36,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
36,785070,1,S. McDowell Blvd. at Lombardi Ave.,"33-No direction, 33T-No direction"
36,785075,2,Casa Grande Rd. east of Sartori Dr.,"24-No direction, 33-No direction, 33T-No direction"
36,785079,3,Ely Blvd S. north of Meadowview Dr.,"33M-No direction, 33-No direction, 33T-No direction"
36,785041,4,Sonoma Mtn Parkway north of E. Washington,"33M-No direction, 33-No direction, 33T-No direction"
36,785047,5,Sonoma Mtn Parkway north of Riesling Rd.,"33M-No direction, 33-No direction, 33T-No direction"
36,785053,6,Maria Dr. south of Rainier Ave.,"33-No direction, 33T-No direction"
36,785026,7,E. Madison St. east of Novak Dr. (SR. Center),"33-No direction, 33T-No direction"
36,785023,8,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
37,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
37,784987,1,E. Washington St. west of Ellis St. (Swim Center),"11-Northbound, 33T-No direction"
37,785023,2,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
38,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
38,784988,1,E. Washington St. west of Ellis St.,"11-Southbound, 24-No direction, 3S-No direction, 3T-No direction"
