stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
131,131,Welch @ Pasteur  N,37.434369,-122.179384,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=131
132,132,801 Welch Rd,37.436625,-122.177215,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=132
134,134,1000 Welch Rd,37.435824,-122.178558,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=134
136,136,900 Welch Rd,37.436418,-122.177797,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=136
137,137,780 Welch Rd,37.437145,-122.176719,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=137
142,142,Olmsted @ Wellesley OB,37.42519,-122.152195,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=142
143,143,Olmsted @ Oberlin,37.42296,-122.153909,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=143
146,146,3300 Hillview Ave,37.407043,-122.145384,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=146
148,148,VA Hospital,37.404005,-122.14128,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=148
149,149,3375 Hillview,37.405029,-122.145653,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=149
150,150,Sand Hill @ Clark,37.434722,-122.182072,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=150
151,151,Vi,37.43979644,-122.1757026,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=151
152,152,Sand Hill @ Pasteur,37.434656,-122.181849,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=152
153,153,El Camino @ Serra St,37.429625,-122.15156,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=153
154,154,Ardenwood Park & Ride,37.551357,-122.054825,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=154
155,155,Union City BART,37.589874,-122.016563,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=155
156,156,Fremont BART,37.557681,-121.975618,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=156
157,157,Kaiser/Campus Fremont,37.549327,-122.06709,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=157
159,159,1500 Page Mill,37.413995,-122.149751,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=159
160,160,Pasteur N @ Sand Hill,37.434271,-122.181231,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=160
161,161,Pasteur S @ Sand Hill,37.434186,-122.181619,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=161
163,163,Page Mill @ P Coutts W,37.411855,-122.151519,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=163
164,164,Page Mill @ P Coutts E,37.412171,-122.150933,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=164
165,165,El Camino @ Galvez,37.436861,-122.159819,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=165
169,169,Walnut @ Liberty,37.549157,-121.980166,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=169
170,170,Wells Fargo - Liberty,37.548764,-121.980133,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=170
171,171,ACE at Tracks,37.558762,-122.007849,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=171
172,172,ACE at Bonde,37.558916,-122.008558,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=172
173,173,SLAC Central Lab,37.418011,-122.204163,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=173
175,175,SLAC Fire Station,37.417851,-122.205388,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=175
176,176,SLAC Kavli Bld,37.4201,-122.205707,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=176
177,177,Campus @ Li Ka Shing,37.430736,-122.176297,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=177
178,178,Campus @ Cogen/LKSC,37.4305,-122.176032,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=178
180,180,Roth Wy @ Campus Dr,37.432292,-122.17266,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=180
183,183,Page Mill @ El Camino,37.42261032,-122.1425451,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=183
184,184,Page Mill @ Hanover W,37.417493,-122.146876,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=184
185,185,Hillview Ave @ Porter,37.408678,-122.146608,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=185
186,186,Hillview @ Coyote Hill W,37.401312,-122.145402,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=186
187,187,3431 Hillview West,37.398543,-122.14441,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=187
188,188,1070 Araradero Side,37.394681,-122.146373,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=188
189,189,3495 Deer Creek E,37.39409057,-122.1486518,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=189
190,190,3475 Deer Creek E,37.395278,-122.149539,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=190
191,191,3475 Deer Creek W,37.395463,-122.150006,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=191
192,192,3495 Deer Creek W,37.393866,-122.148711,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=192
193,193,1070 Araradero Front,37.394153,-122.146616,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=193
194,194,3431 Hillview Ave,37.398935,-122.144397,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=194
