timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label
28,976,0,20130101,20160101,1,1,1,1,1,0,0,KMart-Travis Air Force Base,Year-round,Westbound
29,976,1,20130101,20160101,0,0,0,0,0,1,0,KMart-Travis Air Force Base,Year-round,Eastbound
30,976,1,20130101,20160101,1,1,1,1,1,0,0,KMart-Travis Air Force Base,Year-round,Eastbound
31,3202,1,20150812,20160602,1,1,1,1,1,0,0,Rodriguez High School,School Year,Southbound
32,190,0,20130101,20160101,0,0,0,0,0,1,0,Sacramento-Davis-Fairfield,Year-round,Westbound
33,190,0,20130101,20160101,0,0,0,0,1,0,0,Sacramento-Davis-Fairfield,Year-round,Westbound
34,190,0,20130101,20160101,1,1,1,1,0,0,0,Sacramento-Davis-Fairfield,Year-round,Westbound
35,190,0,20130101,20160101,1,1,1,1,1,0,0,Sacramento-Davis-Fairfield,Year-round,Westbound
36,190,1,20130101,20160101,0,0,0,0,0,1,0,Sacramento-Davis-Fairfield,Year-round,Eastbound
37,190,1,20130101,20160101,0,0,0,0,1,0,0,Sacramento-Davis-Fairfield,Year-round,Eastbound
38,190,1,20130101,20160101,1,1,1,1,0,0,0,Sacramento-Davis-Fairfield,Year-round,Eastbound
39,190,1,20130101,20160101,1,1,1,1,1,0,0,Sacramento-Davis-Fairfield,Year-round,Eastbound
40,974,0,20130101,20160101,0,0,0,0,0,1,0,Solano Town Ctr-Huntington Ct,Year-round,Westbound
41,974,0,20130101,20160101,1,1,1,1,1,0,0,Solano Town Ctr-Huntington Ct,Year-round,Westbound
42,974,1,20130101,20160101,0,0,0,0,0,1,0,Solano Town Ctr-Huntington Ct,Year-round,Eastbound
43,974,1,20130101,20160101,1,1,1,1,1,0,0,Solano Town Ctr-Huntington Ct,Year-round,Eastbound
44,978,0,20130101,20160101,0,0,0,0,0,1,0,Solano Town Ctr-Suisun Senior Ctr-Montebello Dr,Year-round,Westbound
45,978,0,20130101,20160101,1,1,1,1,1,0,0,Solano Town Ctr-Suisun Senior Ctr-Montebello Dr,Year-round,Westbound
46,978,1,20130101,20160101,0,0,0,0,0,1,0,Solano Town Ctr-Suisun Senior Ctr-Montebello Dr,Year-round,Eastbound
47,978,1,20130101,20160101,1,1,1,1,1,0,0,Solano Town Ctr-Suisun Senior Ctr-Montebello Dr,Year-round,Eastbound
48,2720,0,20130101,20160101,0,0,0,0,0,1,0,Suisun Senior Center-Suisun City Walmart,Year-round,Westbound
49,2720,0,20130101,20160101,1,1,1,1,1,0,0,Suisun Senior Center-Suisun City Walmart,Year-round,Westbound
50,2720,1,20130101,20160101,0,0,0,0,0,1,0,Suisun Senior Center-Suisun City Walmart,Year-round,Eastbound
51,2720,1,20130101,20160101,1,1,1,1,1,0,0,Suisun Senior Center-Suisun City Walmart,Year-round,Eastbound
52,196,0,20130101,20160101,1,1,1,1,1,0,0,WC-PH BART - Vacaville-Fairfield,Year-round,Westbound
53,196,1,20130101,20160101,1,1,1,1,1,0,0,WC-PH BART - Vacaville-Fairfield,Year-round,Eastbound
