fare_id,price,currency_type,payment_method,transfers,transfer_duration
200999,31.00,USD,1,,
201000,35.00,USD,1,,
201001,35.00,USD,1,,
201002,35.00,USD,1,,
201003,12.00,USD,1,,
201004,16.00,USD,1,,
201005,18.00,USD,1,,
201006,18.00,USD,1,,
201007,22.00,USD,1,,
201008,19.00,USD,1,,
201009,19.00,USD,1,,
201010,24.00,USD,1,,
201011,26.00,USD,1,,
201012,29.00,USD,1,,
201013,31.00,USD,1,,
201014,31.00,USD,1,,
201015,12.00,USD,1,,
201016,16.00,USD,1,,
201017,18.00,USD,1,,
201018,18.00,USD,1,,
201019,22.00,USD,1,,
201020,19.00,USD,1,,
201021,19.00,USD,1,,
201022,24.00,USD,1,,
201023,26.00,USD,1,,
201024,29.00,USD,1,,
201025,31.00,USD,1,,
201026,31.00,USD,1,,
201027,12.00,USD,1,,
201028,13.00,USD,1,,
201029,13.00,USD,1,,
201030,17.00,USD,1,,
201031,14.00,USD,1,,
201032,16.00,USD,1,,
201033,18.00,USD,1,,
201034,20.00,USD,1,,
201035,24.00,USD,1,,
201036,25.00,USD,1,,
201037,27.00,USD,1,,
201038,12.00,USD,1,,
201039,13.00,USD,1,,
201040,13.00,USD,1,,
201041,17.00,USD,1,,
201042,14.00,USD,1,,
201043,16.00,USD,1,,
201044,18.00,USD,1,,
201045,20.00,USD,1,,
201046,24.00,USD,1,,
201047,25.00,USD,1,,
201048,27.00,USD,1,,
201049,9.00,USD,1,,
201050,9.00,USD,1,,
201051,13.00,USD,1,,
201052,10.00,USD,1,,
201053,12.00,USD,1,,
201054,13.00,USD,1,,
201055,16.00,USD,1,,
201056,19.00,USD,1,,
201057,20.00,USD,1,,
201058,20.00,USD,1,,
201059,9.00,USD,1,,
201060,9.00,USD,1,,
201061,13.00,USD,1,,
201062,10.00,USD,1,,
201063,12.00,USD,1,,
201064,13.00,USD,1,,
201065,16.00,USD,1,,
201066,19.00,USD,1,,
201067,20.00,USD,1,,
201068,20.00,USD,1,,
201069,7.50,USD,1,,
201070,11.50,USD,1,,
201071,9.00,USD,1,,
201072,10.00,USD,1,,
201073,12.00,USD,1,,
201074,15.00,USD,1,,
201075,18.00,USD,1,,
201076,19.00,USD,1,,
201077,19.00,USD,1,,
201078,7.50,USD,1,,
201079,11.50,USD,1,,
201080,9.00,USD,1,,
201081,10.00,USD,1,,
201082,12.00,USD,1,,
201083,15.00,USD,1,,
201084,18.00,USD,1,,
201085,19.00,USD,1,,
201086,19.00,USD,1,,
201087,7.00,USD,1,,
201088,9.00,USD,1,,
201089,12.00,USD,1,,
201090,14.00,USD,1,,
201091,18.00,USD,1,,
201092,19.00,USD,1,,
201093,19.00,USD,1,,
201094,7.00,USD,1,,
201095,9.00,USD,1,,
201096,12.00,USD,1,,
201097,14.00,USD,1,,
201098,18.00,USD,1,,
201099,19.00,USD,1,,
201100,19.00,USD,1,,
201101,7.50,USD,1,,
201102,10.00,USD,1,,
201103,13.00,USD,1,,
201104,16.00,USD,1,,
201105,17.00,USD,1,,
201106,17.00,USD,1,,
201107,7.50,USD,1,,
201108,10.00,USD,1,,
201109,13.00,USD,1,,
201110,16.00,USD,1,,
201111,17.00,USD,1,,
201112,17.00,USD,1,,
201113,9.00,USD,1,,
201114,12.00,USD,1,,
201115,15.00,USD,1,,
201116,16.00,USD,1,,
201117,16.00,USD,1,,
201118,9.00,USD,1,,
201119,12.00,USD,1,,
201120,15.00,USD,1,,
201121,16.00,USD,1,,
201122,16.00,USD,1,,
201123,10.00,USD,1,,
201124,13.00,USD,1,,
201125,14.00,USD,1,,
201126,15.00,USD,1,,
201127,10.00,USD,1,,
201128,13.00,USD,1,,
201129,14.00,USD,1,,
201130,15.00,USD,1,,
201131,10.00,USD,1,,
201132,11.00,USD,1,,
201133,12.00,USD,1,,
201134,10.00,USD,1,,
201135,11.00,USD,1,,
201136,12.00,USD,1,,
201137,6.00,USD,1,,
201138,8.50,USD,1,,
201139,6.00,USD,1,,
201140,8.50,USD,1,,
201141,6.00,USD,1,,
201142,6.00,USD,1,,
200853,9.50,USD,1,,
200854,11.00,USD,1,,
200855,16.00,USD,1,,
200856,18.00,USD,1,,
200857,26.00,USD,1,,
200858,31.00,USD,1,,
200859,35.00,USD,1,,
200860,35.00,USD,1,,
200861,35.00,USD,1,,
200862,39.00,USD,1,,
200863,35.00,USD,1,,
200864,35.00,USD,1,,
200865,39.00,USD,1,,
200866,43.00,USD,1,,
200867,43.00,USD,1,,
200868,43.00,USD,1,,
200869,43.00,USD,1,,
200870,9.50,USD,1,,
200871,11.00,USD,1,,
200872,16.00,USD,1,,
200873,18.00,USD,1,,
200874,26.00,USD,1,,
200875,31.00,USD,1,,
200876,35.00,USD,1,,
200877,35.00,USD,1,,
200878,35.00,USD,1,,
200879,39.00,USD,1,,
200880,35.00,USD,1,,
200881,35.00,USD,1,,
200882,39.00,USD,1,,
200883,43.00,USD,1,,
200884,43.00,USD,1,,
200885,43.00,USD,1,,
200886,43.00,USD,1,,
200887,8.50,USD,1,,
200888,12.00,USD,1,,
200889,16.00,USD,1,,
200890,24.00,USD,1,,
200891,29.00,USD,1,,
200892,31.00,USD,1,,
200893,31.00,USD,1,,
200894,32.00,USD,1,,
200895,36.00,USD,1,,
200896,35.00,USD,1,,
200897,35.00,USD,1,,
200898,35.00,USD,1,,
200899,39.00,USD,1,,
200900,43.00,USD,1,,
200901,43.00,USD,1,,
200902,43.00,USD,1,,
200903,8.50,USD,1,,
200904,12.00,USD,1,,
200905,16.00,USD,1,,
200906,24.00,USD,1,,
200907,29.00,USD,1,,
200908,31.00,USD,1,,
200909,31.00,USD,1,,
200910,32.00,USD,1,,
200911,36.00,USD,1,,
200912,35.00,USD,1,,
200913,35.00,USD,1,,
200914,35.00,USD,1,,
200915,39.00,USD,1,,
200916,43.00,USD,1,,
200917,43.00,USD,1,,
200918,43.00,USD,1,,
200919,11.00,USD,1,,
200920,14.00,USD,1,,
200921,20.00,USD,1,,
200922,27.00,USD,1,,
200923,31.00,USD,1,,
200924,31.00,USD,1,,
200925,32.00,USD,1,,
200926,36.00,USD,1,,
