agency_id,route_id,route_short_name,route_long_name,route_type
AC Transit,71-118,71,Richmond Pkwy TC - El Cerrito Plaza BART,3
AC Transit,72-118,72,Richmond - Downtown Oakland,3
AC Transit,72M-118,72M,Richmond - Downtown Oakland,3
AC Transit,72R-118,72R,San Pablo Rapid BUS,3
AC Transit,73-118,73,Eastmont T.C. - Oakland Airport,3
AC Transit,74-118,74,CCC/Richmond BART/Ford Pt.,3
AC Transit,75-118,75,Bayfair Bart-Washington Manor-S. L. Bart,3
AC Transit,76-118,76,Hilltop Mall - CCC - del Norte BART,3
AC Transit,800-118,800,OWL-DTN.OAKLAND/RICHMOND,3
AC Transit,801-118,801,OWL-DTN.OAKLAND/FREMONT BART,3
AC Transit,802-118,802,OWL- Berkeley-Emeryville/Dnt-Oak,3
AC Transit,805-118,805,OWL-Dtn. Oakland - Oakland  Airport,3
AC Transit,822-118,822,24TH MISSION BART/ PITTSBURG BART,3
AC Transit,83-118,83,Hayward BART - S. Hayward BART,3
AC Transit,840-118,840,OWL-Dtn. Oakland - Eastmont T. C.,3
AC Transit,85-118,85,San Leandro BART - Union Landing,3
AC Transit,851-118,851,OWL - ALAMEDA/DNT BERK,3
AC Transit,86-118,86,Hayward BART - S. Hayward BART,3
AC Transit,88-118,88,Berkeley BART - Downtown Oakland,3
AC Transit,89-118,89,San Leandro Bart-S. L. Marina-Bayfair Bart,3
AC Transit,93-118,93,Hayward Bart-Bayfair Bart-San Lorenzo,3
AC Transit,94-118,94,Hayward Bart-Hayward Hills,3
AC Transit,95-118,95,Kelly Hill - Hayward BART,3
AC Transit,97-118,97,Union City BART - Hesperian Blvd.,3
AC Transit,98-118,98,Coliseum Bart - 98th Ave.,3
AC Transit,99-118,99,Bayfair Bart - Hwd.BART- UC  Bart - Fmt Bart,3
AC Transit,B-118,B,San Francisco - Trestle Glen,3
AC Transit,BSD-118,BSD,BROADWAY SHUTTLE DAY,3
AC Transit,BSN-118,BSN,BROADWAY SHUTTLE NIGHT,3
AC Transit,C-118,C,San Francisco - Piedmont,3
AC Transit,CB-118,CB,San Francisco - Montclair,3
AC Transit,DB-107,DB,Dumbarton Express,3
AC Transit,DB1-107,DB1,Dumbarton Express,3
AC Transit,E-118,E,San Francisco - Claremont -Parkwood,3
AC Transit,F-118,F,San Francisco - Berkeley,3
AC Transit,FS-118,FS,San Francisco - Berkeley,3
AC Transit,G-118,G,San Francisco - El Cerrito,3
AC Transit,H-118,H,San Francisco - Richmond,3
AC Transit,J-118,J,Berkeley - San Francisco,3
AC Transit,L-118,L,San Francisco - El Sobrante,3
AC Transit,LA-118,LA,San Francisco - El Sobrante,3
AC Transit,LC-118,LC,SF/Hilltop Park & Ride (L/LA Sweeper),3
AC Transit,M-118,M,Hayward BART- Hillsdale Mall- Oracle,3
AC Transit,NL-118,NL,San Francisco - Eastmont T.C.,3
AC Transit,NX-118,NX,East Oakland - San Francisco,3
AC Transit,NX1-118,NX1,San Francisco - East Oakland,3
AC Transit,NX2-118,NX2,San Francisco - East Oakland,3
AC Transit,NX3-118,NX3,San Francisco - San Leandro,3
AC Transit,NX4-118,NX4,San Francisco - Castro Valley,3
AC Transit,NXC-118,NXC,SF - Oakland (N/NX Sweeper),3
AC Transit,O-118,O,San Francisco - Alameda - Fruitvale Bart,3
AC Transit,OX-118,OX,San Francisco - Alameda - Bay Farm Is.,3
AC Transit,P-118,P,San Francisco - Piedmont,3
AC Transit,S-118,S,San Francisco - San Lorenzo- Hayward,3
AC Transit,SB-118,SB,San Francisco - Hayward - Newark,3
AC Transit,U-118,U,Frmt. BART- Stanford University,3
AC Transit,V-118,V,San Francisco - Montclair,3
AC Transit,W-118,W,San Francisco - Alameda,3
AC Transit,Z-118,Z,San Francisco - Albany,3
