stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station
1012430,Hegenberger Lp:Hegenberger Rd,37.736874,-122.195756,58786,,
1012440,Hegenberger Lp:Hegenberger Rd,37.736850,-122.196361,55025,,
1012450,Hegenberger Rd:#675,37.748369,-122.196488,59336,,
1012460,Hegenberger Rd:Airport Dr,37.730172,-122.199724,54335,,
1012470,Hegenberger Rd:Baldwin St,37.747417,-122.195885,52855,,
1012480,Hegenberger Rd:Baldwin St,37.747264,-122.196318,51443,,
1012490,Hegenberger Rd:Collins Dr,37.745819,-122.196295,53899,,
1012500,Hegenberger Rd:Doolittle Dr,37.727586,-122.201175,55035,,
1012510,Hegenberger Rd:Edes Av,37.745073,-122.195849,56782,,
1012520,Hegenberger Rd:Edgewater Dr,37.736543,-122.197121,58556,,
1012530,Hegenberger Rd:Hegenberger Lp (South Jctn),37.734014,-122.197807,59945,,
1012540,Hegenberger Rd:Hegenberger Lp (North Jctn),37.736157,-122.196850,59333,,
1012550,Hegenberger Rd:Hegenberger Pl,37.731940,-122.198761,52166,,
1012560,Hegenberger Rd:Doolittle Dr,37.727774,-122.201440,50117,,
1012570,Hegenberger Rd:Leet Dr,37.733197,-122.198558,58832,,
1012580,Hegenberger Rd:Pardee Dr,37.729493,-122.200492,55428,,
1012590,High St:Brookdale Av,37.782406,-122.204431,53833,,
1012600,High St:Brookdale Av,37.782427,-122.204197,54475,,
1012610,High St:Carrington St,37.776955,-122.209619,55468,,
1012620,High St:Carrington St,37.776698,-122.209623,51127,,
1012640,High St:Congress Av,37.780385,-122.206179,55828,,
1012650,High St:Culver St,37.785135,-122.199298,54485,,
1012660,High St:Culver St,37.784987,-122.199220,52088,,
1012690,High St:International Blvd,37.772537,-122.214510,51234,,
1012700,High St:International Blvd,37.772553,-122.214719,51488,,
1012720,High St:Fleming Av,37.783637,-122.201856,56756,,
1012730,High St:Fleming Av,37.783773,-122.201934,58898,,
1012740,High St:Foothill Blvd,37.774481,-122.211939,54326,,
1012750,High St:Foothill Blvd,37.774923,-122.211657,55051,,
1012780,High St:Hyacinth Av,37.790533,-122.188395,51323,,
1012790,High St:Kansas St,37.788536,-122.192728,56395,,
1012800,High St:Kansas St,37.788347,-122.192646,51870,,
1012810,High St:MacArthur Blvd,37.787168,-122.194988,52199,,
1012820,High St:MacArthur Blvd,37.787141,-122.195417,54557,,
1012840,High St:Pampas Av,37.789058,-122.191261,52570,,
1012850,High St:Pampas Av,37.789299,-122.191246,56396,,
1012860,High St:Porter St/MacArthur Blvd,37.786183,-122.196906,58994,,
1012870,High St:Porter St,37.786203,-122.197211,53537,,
1012880,High St:San Carlos Av (San Carlos Walk),37.778549,-122.208119,55481,,
1012890,High St:San Carlos Av,37.778286,-122.208119,52443,,
1012900,High St:Santa Rita St,37.779913,-122.206810,53354,,
1012910,High St:Steele St,37.789892,-122.189646,52870,,
1012920,High St:Steele St,37.790127,-122.189627,56905,,
1012950,High St:Tompkins Av,37.790735,-122.188450,56906,,
1013030,Hillmont Dr:Altamont Av,37.775054,-122.169885,50114,,
1013040,Hillmont Dr:Archmont Pl,37.778349,-122.172575,59443,,
1013050,Hillmont Dr:Archmont Pl,37.778320,-122.172765,56909,,
1013060,Hillmont Dr:Edgemoor Pl,37.775588,-122.170575,58831,,
1013070,Hillmont Dr:Edgemoor Pl,37.775681,-122.170525,58836,,
1013080,Hillmont Dr:Gardenia Pl,37.776993,-122.171273,55482,,
1013090,Hillmont Dr:Gardenia Pl,37.777091,-122.171484,52720,,
1013100,Hillmont Dr:Overdale Av,37.779200,-122.174570,53870,,
1013110,Hillmont Dr:Overdale Av,37.779135,-122.174970,56915,,
1013120,Hillmont Dr:Seminary Av,37.779870,-122.176623,55623,,
1013130,Hillmont Dr:Sunkist Dr,37.774546,-122.169749,58839,,
1013160,Hollis St:34th St,37.825983,-122.284249,59919,,
1013170,Holman Rd:Trestle Glen Rd,37.806824,-122.232639,52750,,
1013190,I-80 Fwy:Toll Plaza (East Bound),37.823222,-122.315350,56925,,
1013260,Jackson St:3rd St,37.794259,-122.270079,56926,,
1013270,Joaquin Miller Rd:Butters Dr,37.809726,-122.191814,56929,,
1013280,Joaquin Miller Rd:Craneway (West Jctn),37.809583,-122.189592,56935,,
1013290,Joaquin Miller Rd:Crane Way,37.809805,-122.189630,56936,,
1013300,Joaquin Miller Rd:Crockett Pl,37.808185,-122.180842,56939,,
1013310,Joaquin Miller Rd:Crockett Pl,37.808625,-122.180887,56951,,
1013320,Joaquin Miller Rd:Hedge Ln,37.810671,-122.194825,56952,,
1013330,Joaquin Miller Rd:Mountain Blvd,37.810840,-122.196536,59661,,
1013340,Joaquin Miller Rd:Robinson Dr,37.809511,-122.183543,56953,,
1013350,Joaquin Miller Rd:Sanborn Dr (West Jctn),37.810518,-122.193042,56961,,
1013360,Joaquin Miller Rd:Sanborn Dr (East Jctn),37.809637,-122.183012,56962,,
1013370,Joaquin Miller Rd:Skyline Blvd,37.805074,-122.179479,56963,,
1013380,Joaquin Miller Rd:Skyline Blvd,37.805440,-122.179298,57076,,
