route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
13,20141214-1,20141214-233019,Southbound,1,20141214-6,20141214-CS-16
13,20141214-1,20141214-233020,Northbound,0,20141214-6,20141214-CS-15
13,20141214-1,20141214-233021,Southbound,1,20141214-6,20141214-CS-16
13,20141214-1,20141214-233022,Northbound,0,20141214-6,20141214-CS-15
13,20141214-1,20141214-233023,Southbound,1,20141214-6,20141214-CS-16
13,20141214-1,20141214-233024,Northbound,0,20141214-6,20141214-CS-15
13,20141214-1,20141214-233025,Southbound,1,20141214-6,20141214-CS-16
13,20141214-1,20141214-233026,Northbound,0,20141214-6,20141214-CS-17
14,20141214-1,20141214-251001,Southbound,1,20141214-7,20141214-CS-10
14,20141214-1,20141214-251002,Northbound,0,20141214-7,20141214-CS-11
14,20141214-1,20141214-251003,Southbound,1,20141214-8,20141214-CS-10
14,20141214-1,20141214-251004,Northbound,0,20141214-8,20141214-CS-11
14,20141214-1,20141214-251005,Southbound,1,20141214-7,20141214-CS-10
14,20141214-1,20141214-251006,Northbound,0,20141214-7,20141214-CS-9
14,20141214-1,20141214-251007,Southbound,1,20141214-8,20141214-CS-10
14,20141214-1,20141214-251008,Northbound,0,20141214-8,20141214-CS-9
14,20141214-1,20141214-251009,Southbound,1,20141214-7,20141214-CS-10
14,20141214-1,20141214-251010,Northbound,0,20141214-7,20141214-CS-9
14,20141214-1,20141214-251011,Southbound,1,20141214-8,20141214-CS-10
14,20141214-1,20141214-251012,Northbound,0,20141214-8,20141214-CS-9
14,20141214-1,20141214-251013,Southbound,1,20141214-7,20141214-CS-10
14,20141214-1,20141214-251014,Northbound,0,20141214-7,20141214-CS-9
14,20141214-1,20141214-251015,Southbound,1,20141214-8,20141214-CS-10
14,20141214-1,20141214-251016,Northbound,0,20141214-8,20141214-CS-9
14,20141214-1,20141214-251017,Southbound,1,20141214-7,20141214-CS-10
14,20141214-1,20141214-251018,Northbound,0,20141214-7,20141214-CS-9
14,20141214-1,20141214-251019,Southbound,1,20141214-8,20141214-CS-10
14,20141214-1,20141214-251020,Northbound,0,20141214-8,20141214-CS-9
14,20141214-1,20141214-251021,Southbound,1,20141214-7,20141214-CS-10
14,20141214-1,20141214-251022,Northbound,0,20141214-7,20141214-CS-9
14,20141214-1,20141214-251023,Southbound,1,20141214-8,20141214-CS-10
