trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,last_stop_on_trip
t101-sl2-p12-r15,,,372,235,,,,4329,
t101-sl2-p12-r15,,,373,306,,,,5630,
t101-sl2-p12-r15,06:26:00,06:26:00,157,360,,,,6613,
t101-sl2-p12-r15,,,158,389,,,,7372,
t101-sl2-p12-r15,,,152,429,,,,8405,
t101-sl2-p12-r15,,,159,525,,,,10899,
t101-sl2-p12-r15,,,160,561,,,,11840,
t101-sl2-p12-r15,06:30:00,06:30:00,155,600,,,,12829,
t101-sl2-p12-r15,,,108,731,,,,14853,
t101-sl2-p12-r15,,,46,786,,,,15705,
t101-sl2-p12-r15,06:34:00,06:34:00,128,840,,,,16536,
t101-sl2-p12-r15,,,352,855,,,,16904,
t101-sl2-p12-r15,,,201,885,,,,17598,
t101-sl2-p12-r15,,,25,926,,,,18551,
t101-sl2-p12-r15,,,231,954,,,,19209,
t101-sl2-p12-r15,,,443,1023,,,,20807,
t101-sl2-p12-r15,06:38:00,06:38:00,439,1080,,,,22128,
t101-sl2-p12-r15,,,371,1144,,,,23293,
t101-sl2-p12-r15,,,154,1252,,,,25259,
t101-sl2-p12-r15,,,452,1290,,,,25947,
t101-sl2-p12-r15,,,166,1383,,,,27632,
t101-sl2-p12-r15,06:44:00,06:44:00,156,1440,,,,28663,
t101-sl2-p12-r15,,,167,1552,,,,29824,
t101-sl2-p12-r15,,,161,1681,,,,31147,
t101-sl2-p12-r15,,,153,1754,,,,31895,
t101-sl2-p12-r15,,,162,1818,,,,32558,
t101-sl2-p12-r15,,,168,1881,,,,33203,
t101-sl2-p12-r15,,,56,1966,,,,34081,
t101-sl2-p12-r15,06:55:00,06:55:00,26,2100,,,,35456,1
t102-sl2-p71-r19,06:40:00,06:45:00,26,0,,,,0,
t102-sl2-p71-r19,,,145,83,,,,1543,
t102-sl2-p71-r19,,,146,111,,,,2049,
t102-sl2-p71-r19,,,364,156,,,,2871,
t102-sl2-p71-r19,,,365,197,,,,3636,
t102-sl2-p71-r19,,,372,235,,,,4329,
t102-sl2-p71-r19,,,373,306,,,,5630,
t102-sl2-p71-r19,06:51:00,06:51:00,157,360,,,,6613,
t102-sl2-p71-r19,,,158,396,,,,7372,
t102-sl2-p71-r19,,,152,446,,,,8405,
t102-sl2-p71-r19,,,159,566,,,,10899,
t102-sl2-p71-r19,,,160,612,,,,11840,
t102-sl2-p71-r19,06:56:00,06:56:00,155,660,,,,12829,
t102-sl2-p71-r19,,,108,889,,,,14853,
t102-sl2-p71-r19,,,46,985,,,,15705,
t102-sl2-p71-r19,07:03:00,07:03:00,128,1080,,,,16536,
t102-sl2-p71-r19,,,352,1099,,,,16904,
