stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_code,platform_code,position,direction,stop_id,osm_node_id,shst_node_id,model_node_id,X,Y,drive_access,walk_access
MONTEREY & ROEDER,,37.260626528,-121.810379494,1,,,,,,63410,,,,18477,5042468915,6f5e0d5816d2ef0c8569dced71f6beb2,2137390,-121.8102762,37.2605251,1,0
CAPITOL & SILVER CREEK,,37.307471458,-121.810181054,1,,,,,,63497,,,,18566,3711250788,5242607b15b24159feb54d2bc8ad0dc2,2013136,-121.8105795,37.307515,1,0
CAPITOL & NIEMAN,,37.317211996,-121.80821113200001,1,,,,,,61231,,,,16806,1106989978,fe44b012f47c43ca11f79366db718529,2115594,-121.80784030000001,37.316484100000004,1,0
MONTEREY & BLOSSOM HILL,,37.25636575,-121.80386077,1,,,,,,65392,,,,19760,447596434,acb7d13c70652106149fff424255549c,2118794,-121.80343230000001,37.256403,1,0
CAPITOL & ABORN,,37.312293634,-121.807676843,1,,,,,,61262,,,,16840,1081555950,8d3898ab5ca8ff9fd804a10b8ef5c916,2162140,-121.8078346,37.3120763,1,0
CAPITOL & NIEMAN,,37.316979985,-121.807761555,1,,,,,,61263,,,,16841,1106989978,fe44b012f47c43ca11f79366db718529,2115594,-121.80784030000001,37.316484100000004,1,0
MONTEREY & BERNAL,,37.239511613000005,-121.775246879,1,,,,,,63698,,,,18773,65648587,7b97f4bc12934adfe2c99a3d9887b654,2074762,-121.774771,37.239109500000005,1,0
COCHRANE & BUTTERFIELD,,37.146816803,-121.661857877,1,,,,,,60223,,,,17422,3190827672,60f02406fb74ca3d2e68fa00dc4da0d6,2141563,-121.6610763,37.1474169,1,0
MONTEREY & WATSONVILLE,,37.107455,-121.635062,1,,,,,,63448,,,,18518,3317802449,2191ea7c4fa7df773a34439359438ad2,2128794,-121.6354105,37.107704600000005,1,0
Solano Avenue & Waverly Street,,38.31,-122.305833333333,,,,,,,,,,,20605,287034583,acc617ff8db6204f311285e3f21d8a1c,4006264,-122.30555980000001,38.3099903,1,0
Auto Mall Pkwy:Fremont Blvd,,37.512109,-121.950037,,,,,,,52543,,,,1006,1068399369,2703190ac9dd70de2791b93075ad5e16,2593480,-121.95037260000001,37.512108000000005,1,0
Auto Mall Pkwy:Technology Dr,,37.511324,-121.95487,,,,,,,57045,,,,1010,350562021,3312a13c739970457196816bf87fa12e,2510862,-121.95488250000001,37.511231900000006,1,0
Hegenberger Rd:Airport Dr,,37.730172,-122.199724,,,,,,,54335,,,,2940,679017497,ce80e9e0a08b69038dd3df00646433b8,2594816,-122.2000043,37.7301598,1,0
MacArthur Blvd:#345,,37.813202,-122.251178,,,,,,,58863,,,,3088,728248190,a3d66d2815240e653b7de478d5bf6052,2508400,-122.25078400000001,37.813153400000004,1,0
Foothill Blvd:Fairmont Hospital South Entrance,,37.706218,-122.117547,,,,,,,59980,,,,4878,242905873,203c8db398540a55df4dd6e791c6618a,2561142,-122.11772880000001,37.7058261,1,0
