shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.36301,37.7856,14,16745.69539780
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37514,37.7927,15,18073.32674740
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.38352,37.796,16,18897.29866870
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.38491,37.79654,17,19033.60709090
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.39192,37.79626,18,19651.79267430
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.39206,37.7959,19,19693.60930910
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.37725,37.66267,1,0.00000000
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.37727,37.66377,2,122.10187710
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.37728,37.66413,3,162.06806340
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.37713,37.66423,4,179.34075680
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.37262,37.6642,5,577.27845290
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.3714,37.6644,6,687.18569220
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.37071,37.66467,7,755.04102390
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33746,37.7035,8,5968.10353560
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.32463,37.74024,9,10199.89477190
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33493,37.77328,10,13977.72276800
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33939,37.78756,11,15610.66489040
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33803,37.79148,12,16061.94542870
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33459,37.79604,13,16651.83129510
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33287,37.7972,14,16850.64170770
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33162,37.79748,15,16965.03616750
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.33051,37.79739,16,17063.30679390
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.32689,37.79644,17,17399.11884360
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.30385,37.79134,18,19505.90022020
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.30089,37.79113,19,19767.65940800
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.29874,37.79122,20,19957.29670870
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.29679,37.79149,21,20131.64890840
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28604,37.79312,22,21095.63383590
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28036,37.79372,23,21600.33141280
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28007,37.79392,24,21634.17216570
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28006,37.79419,25,21664.15310350
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28015,37.79444,26,21693.01131180
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.27978,37.79503,27,21766.15754000
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28015,37.79444,28,21839.30376830
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28005,37.79418,29,21869.47601270
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28006,37.79392,30,21898.34752220
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.28039,37.79372,31,21934.92056540
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.29402,37.79189,32,23152.49886460
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.29419,37.7913,33,23219.67456190
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.29416,37.79119,34,23232.16641720
bbf97c06-1368-4fe0-b43e-eaf45f96aad9,-122.29406,37.79066,35,23291.64822750
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.392056,37.7959,1,0.00000000
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.39192,37.796263,2,42.03317330
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.384903,37.796543,3,660.83447610
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.383519,37.796009,4,796.37593470
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.37514,37.792703,5,1620.56518460
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.363006,37.785608,6,2948.15077270
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.334374,37.771535,7,5914.99009430
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.324648,37.740238,8,9492.87600240
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.337485,37.703467,9,13728.14780590
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.363466,37.673163,10,17798.07198060
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.370762,37.664592,11,18946.68471240
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.37143,37.664392,12,19009.66474820
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.372583,37.664201,13,19113.58079250
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.373527,37.664184,14,19196.89266000
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.377118,37.664233,15,19513.77843800
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.377204,37.664212,16,19521.71625000
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.377266,37.664144,17,19531.03756530
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.377272,37.663767,18,19572.88419210
d1fd3704-fed5-4054-adc5-d5267b0e0e21,-122.377245,37.662676,19,19693.99783760
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.2569662,37.736528,1,0.00000000
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.257407,37.736235,2,50.66827010
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.258405,37.735836,3,149.15657510
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.25965,37.735522,4,264.30032410
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.259983,37.735514,5,293.66669100
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.260637,37.735539,6,351.38154160
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.261238,37.7357,7,407.29046020
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.304134,37.756748,8,4851.45568010
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.363904,37.7861,9,11043.73098730
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.375137,37.792713,10,12275.69340130
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.383527,37.796011,11,13100.35571530
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.386703,37.796036,12,13380.09625990
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.389739,37.795917,13,13647.81869650
da417afe-a7bb-4d6b-b5c6-28558afe9513,-122.3920562,37.7959,14,13851.91290770
