trip_id,stop_id
3605,89001
3605,89258
3605,89262
3605,89252
3605,89250
3605,89113
3605,89251
3605,89076
3605,89238
3605,89183
3606,89195
3606,89175
3606,89166
3606,89160
3606,89248
3606,89001
3606,89258
3606,89262
3606,89252
3606,89250
3606,89113
3606,89251
3606,89076
3606,89238
3606,89183
3607,89195
3607,89187
3607,89175
3607,89160
3607,89163
3607,89170
3607,89171
3607,89051
3607,89001
3607,89169
3607,89113
3607,89255
3607,89183
3607,89173
3608,89195
3608,89187
3608,89175
3608,89160
3608,89163
3608,89170
3608,89171
3608,89051
3608,89001
3608,89169
3608,89113
3608,89255
3608,89183
3608,89173
3609,89195
3609,89187
3609,89175
3609,89160
3609,89163
3609,89170
3609,89171
3609,89051
3609,89001
3609,89169
3609,89113
3609,89255
3609,89183
3609,89173
3610,89195
3610,89187
3610,89175
3610,89160
3610,89163
3610,89170
3610,89171
3610,89051
3610,89001
3610,89169
3610,89113
3610,89255
3610,89183
3610,89173
3611,89195
3611,89187
3611,89175
3611,89160
3611,89163
3611,89170
3611,89171
3611,89051
3611,89001
3611,89169
3611,89113
3611,89255
3611,89183
3611,89173
3612,89195
3612,89187
3612,89175
3612,89160
3612,89163
3612,89170
3612,89171
3612,89051
3612,89001
3612,89169
3612,89113
3612,89255
3612,89183
3612,89173
3613,89195
3613,89187
3613,89175
3613,89160
3613,89163
3613,89170
3613,89171
3613,89051
3613,89001
3613,89169
3613,89113
3613,89255
3613,89183
3613,89173
3614,89195
3614,89187
3614,89175
3614,89160
3614,89163
3614,89170
3614,89171
3614,89051
3614,89001
3614,89169
3614,89113
3614,89255
3614,89183
3614,89173
3615,89195
3615,89187
3615,89175
3615,89160
3615,89163
3615,89170
3615,89171
3615,89051
3615,89001
3615,89169
3615,89113
3615,89255
3615,89183
3615,89173
3616,89195
3616,89187
3616,89175
3616,89160
3616,89163
3616,89170
3616,89171
3616,89051
3616,89001
3616,89169
3616,89113
3616,89255
3616,89183
3616,89173
3617,89195
3617,89187
3617,89175
3617,89160
3617,89163
3617,89170
3617,89171
3617,89051
3617,89001
3617,89169
3617,89113
3617,89255
3617,89183
3617,89173
3618,89195
3618,89187
3618,89175
3618,89160
3618,89163
3618,89170
3618,89171
3618,89051
3618,89001
3618,89169
3618,89113
3618,89255
3618,89183
3618,89173
3619,89195
3619,89187
3619,89175
3619,89160
3619,89163
3619,89170
3619,89171
3619,89051
3619,89001
3619,89169
3619,89113
3619,89255
3619,89183
3619,89173
3620,89195
3620,89187
3620,89175
3620,89160
3620,89163
3620,89170
3620,89171
3620,89051
3620,89001
3620,89169
3620,89113
3620,89255
3620,89183
3620,89173
3621,89195
3621,89187
3621,89175
3621,89160
3621,89163
3621,89170
3621,89171
3621,89051
3621,89001
3621,89169
3621,89113
3621,89255
3621,89183
3621,89173
3622,89195
3622,89187
3622,89175
3622,89160
3622,89163
3622,89170
3622,89171
3622,89051
3622,89001
3622,89169
3622,89113
3622,89255
3622,89183
3622,89173
3623,89195
3623,89187
3623,89175
3623,89160
3623,89163
3623,89170
3623,89171
3623,89051
3623,89001
3623,89169
3623,89113
3623,89255
3623,89183
3623,89173
3624,89195
3624,89187
3624,89175
3624,89160
3624,89163
3624,89170
3624,89171
3624,89051
3624,89001
3624,89169
3624,89113
3624,89255
3624,89183
3624,89173
3625,89195
3625,89187
3625,89175
3625,89160
3625,89163
3625,89170
3625,89171
3625,89051
3625,89001
3625,89169
3625,89113
3625,89255
3625,89183
3625,89173
3626,89187
3626,89175
3626,89160
3626,89163
3626,89170
3626,89171
3626,89001
3626,89169
3626,89113
3626,89255
3626,89183
3626,89173
3627,89187
3627,89175
3627,89160
3627,89163
3627,89170
3627,89171
3627,89001
3627,89169
3627,89113
3627,89255
3627,89183
3627,89173
3628,89187
3628,89175
3628,89160
3628,89163
3628,89170
3628,89171
3628,89001
3628,89169
3628,89113
3628,89255
3628,89183
3628,89173
3629,89187
3629,89175
3629,89160
3629,89163
3629,89170
3629,89171
3629,89001
3629,89169
3629,89113
3629,89255
3629,89183
3629,89173
3630,89195
3630,89211
3630,89213
3630,89140
3630,89220
3630,89225
3630,89001
3630,89199
3630,89214
3630,89230
3630,89113
3630,89076
3630,89238
3630,89310
3631,89195
3631,89211
3631,89213
3631,89140
3631,89220
3631,89225
3631,89001
3631,89199
3631,89214
3631,89230
3631,89113
3631,89076
3631,89238
3631,89310
3632,89195
3632,89211
3632,89213
3632,89140
3632,89220
3632,89225
3632,89001
3632,89199
3632,89214
3632,89230
3632,89113
3632,89076
3632,89238
3632,89310
3633,89195
3633,89211
3633,89213
3633,89140
3633,89220
3633,89225
3633,89001
3633,89199
3633,89214
3633,89230
3633,89113
3633,89076
3633,89238
3633,89310
3634,89195
3634,89211
3634,89213
3634,89140
3634,89220
3634,89225
3634,89001
3634,89199
3634,89214
3634,89230
3634,89113
3634,89076
3634,89238
