route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
1,RTD8997351,San Francisco Ferry Building [Arrive],,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD6919465,Alameda Main Street,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9087488,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087484,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087486,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919840,San Francisco Ferry Building,,0,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087430,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087432,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
200,RTD8997348,Vallejo Ferry Terminal,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD6919844,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087434,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087436,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087426,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD6919433,Pier 41,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087428,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD6919438,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9039804,Vallejo Ferry Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD6919436,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919437,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9039800,Vallejo Ferry Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087420,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD6919837,San Francisco Ferry Building,,0,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD8997333,San Francisco Ferry Building,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD9087424,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
2,RTD6919833,Harbor Bay Ferry Terminal,,0,,00110d36-c924-41f7-b489-42de4196e85b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087422,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD6919441,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087418,San Francisco Ferry Building [Arrive],,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD6919442,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919444,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087416,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919440,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919446,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919448,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD6919413,San Francisco Ferry Building,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9022276,Vallejo Ferry Terminal,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
200,RTD6919412,San Francisco Ferry Building,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD6919414,San Francisco Ferry Building,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919417,Harbor Bay Ferry Terminal,,0,,00110d36-c924-41f7-b489-42de4196e85b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD6919416,San Francisco Ferry Building,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919419,Harbor Bay Ferry Terminal,,0,,00110d36-c924-41f7-b489-42de4196e85b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919418,Harbor Bay Ferry Terminal,,0,,00110d36-c924-41f7-b489-42de4196e85b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD6919411,San Francisco Ferry Building,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087448,Alameda Main Street,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9022274,Vallejo Ferry Terminal,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
200,RTD6919410,San Francisco Ferry Building,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9087504,Vallejo Ferry Terminal,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087458,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087456,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087454,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9087507,Vallejo Ferry Terminal,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087452,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9087509,Vallejo Ferry Terminal,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
4,RTD6919495,South San Francisco,,1,,ae2f570a-f699-4f00-9cfd-4ed774fd8f0b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,f4cdebc7-f9b7-44a1-b667-3b26529a9cdf,,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087450,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
4,RTD6919494,San Francisco Ferry Building,,0,,ebf588c8-319a-4060-a9d7-2f6ea7a09dd9,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919426,San Francisco Ferry Building,,1,,dee52e05-f26f-4739-87b9-91e055a57b72,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919425,San Francisco Ferry Building,,1,,dee52e05-f26f-4739-87b9-91e055a57b72,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919424,San Francisco Ferry Building,,1,,dee52e05-f26f-4739-87b9-91e055a57b72,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919423,San Francisco Ferry Building,,1,,dee52e05-f26f-4739-87b9-91e055a57b72,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD6919429,Pier 41,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919428,San Francisco Ferry Building,,1,,dee52e05-f26f-4739-87b9-91e055a57b72,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919427,San Francisco Ferry Building,,1,,dee52e05-f26f-4739-87b9-91e055a57b72,0,0,67950b41-d4f0-43fa-929b-77eb21857210
2,RTD6919422,Harbor Bay Ferry Terminal,,0,,00110d36-c924-41f7-b489-42de4196e85b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087438,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
2,RTD6919421,Harbor Bay Ferry Terminal,,0,,00110d36-c924-41f7-b489-42de4196e85b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9087502,Vallejo Ferry Terminal,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
2,RTD6919420,Harbor Bay Ferry Terminal,,0,,00110d36-c924-41f7-b489-42de4196e85b,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9087500,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087444,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9116640,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087446,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9116643,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087440,Pier 41,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087442,Pier 41,,0,,81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9116642,San Francisco Ferry Building,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD8997391,Pier 41,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD8997392,Pier 41,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD8997390,Pier 41,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD8997395,Pier 41,,0,,81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD8997396,Pier 41,,0,,81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,102a6881-face-4102-b9df-5e5387481648,San Francisco Ferry Building,,1,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,1,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD8997389,Pier 41,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD8997388,Pier 41,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,828b9315-b15e-4abc-9def-39b661e2fabd,San Francisco Ferry Building,,1,,f4901e45-511d-4a61-b160-c9d5108bdb58,0,1,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9039945,Vallejo Ferry Terminal,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087476,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD9087474,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
5,RTD6919912,Oakland Terminal,,1,,7d55e93a-ff94-4ac1-b894-3d6229737cef,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087478,Oakland Terminal,,1,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD8997382,Alameda Main Street,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
3,RTD6919476,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9116639,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD9116634,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087472,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9116636,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087470,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
200,RTD6919408,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD6919407,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD6919406,Vallejo Ferry Terminal,,0,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD8997379,Oakland Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
5,RTD6919491,Alameda Main  Street,,1,,37a47c34-9701-4b8a-a8e4-3eeb918b69cf,0,0,67950b41-d4f0-43fa-929b-77eb21857210
200,RTD6919405,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD8997378,Oakland Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
200,RTD6919404,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD8997377,Oakland Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
200,RTD6919403,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD8997376,Oakland Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD8997375,Oakland Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
3,RTD9039089,Vallejo Ferry Terminal,,0,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
3,RTD9116621,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087462,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9020164,Vallejo Ferry Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
1,RTD9087464,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
3,RTD9116620,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087466,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
5,RTD6919489,Oakland Terminal,,1,,7d55e93a-ff94-4ac1-b894-3d6229737cef,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087468,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
1,RTD8997373,Oakland Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
5,RTD6919486,South San Francisco,,0,,38ebeac5-ca53-4235-9198-86ec6ef513c0,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,d8731162-df68-447f-97e5-ca1c8bb6f903,,,0,,81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD8997374,Oakland Terminal,,1,,,0,0,c9503905-99e8-4bdd-aba9-504757c0f5b5
5,RTD6919488,South San Francisco,,0,,38ebeac5-ca53-4235-9198-86ec6ef513c0,0,0,67950b41-d4f0-43fa-929b-77eb21857210
5,RTD6919487,South San Francisco,,0,,38ebeac5-ca53-4235-9198-86ec6ef513c0,0,0,67950b41-d4f0-43fa-929b-77eb21857210
3,RTD6919482,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
1,RTD9087460,Oakland Terminal,,1,,,0,0,f71d5602-728a-4106-8376-e510da08bb07
200,RTD6919409,Vallejo Ferry Terminal,,0,,,0,0,67950b41-d4f0-43fa-929b-77eb21857210
