shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.6646790,-122.3707030,29,22535.9819643
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.6644070,-122.3714000,30,22604.4894869
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.6642030,-122.3726120,31,22713.7966069
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.6642370,-122.3771290,32,23112.3558311
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.6641390,-122.3772740,33,23129.1482425
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.6637740,-122.3772690,34,23169.6620410
38ebeac5-ca53-4235-9198-86ec6ef513c0,37.6626760,-122.3772450,35,23291.5475667
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.6626760,-122.3772450,1,0.0000000
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.6637740,-122.3772690,2,121.8855104
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.6641390,-122.3772740,3,162.3993088
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.6642370,-122.3771290,4,179.1917203
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.6642030,-122.3726120,5,577.7509445
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.6644070,-122.3714000,6,687.0580644
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.6646790,-122.3707030,7,755.5655871
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7035090,-122.3374550,8,5968.5286539
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7402470,-122.3246240,9,10200.1295253
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7732810,-122.3349260,10,13977.3534256
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7875670,-122.3393880,11,15610.9843259
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7914880,-122.3380250,12,16062.4420734
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7960430,-122.3345810,13,16652.0330198
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7972060,-122.3328610,14,16851.0592267
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7974820,-122.3316110,15,16965.3338646
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7973950,-122.3305030,16,17063.3959048
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7964410,-122.3268880,17,17398.9297145
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7913480,-122.3038440,18,19505.8417421
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7911380,-122.3008880,19,19767.2499799
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7912210,-122.2987320,20,19957.3757933
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7915000,-122.2967890,21,20131.2957058
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7914580,-122.2944660,22,20335.9599863
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7911910,-122.2941570,23,20376.1967384
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7906670,-122.2940580,24,20435.0067629
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7911910,-122.2941570,25,20493.8167873
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7919980,-122.2934040,26,20605.2704047
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7931260,-122.2860330,27,21266.4645783
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7937220,-122.2803570,28,21770.7544671
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7939230,-122.2800620,29,21805.0010411
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7941960,-122.2800510,30,21835.3175016
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7944420,-122.2801480,31,21863.9271026
7d55e93a-ff94-4ac1-b894-3d6229737cef,37.7950320,-122.2797770,32,21937.1118267
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7906670,-122.2940582,1,0.0000000
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7911910,-122.2941570,2,58.8071546
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7913080,-122.2941840,3,72.0092463
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7918950,-122.2940180,4,138.7823524
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7937260,-122.2803840,5,1356.7264599
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7939210,-122.2800570,6,1392.7537588
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7941880,-122.2800460,7,1422.4046115
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7944420,-122.2801480,8,1451.9935537
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7950320,-122.2797770,9,1525.1786711
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7944340,-122.2801580,10,1599.5525885
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7944130,-122.2803990,11,1620.9067543
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7941040,-122.2807420,12,1666.6116663
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7940190,-122.2810320,13,1693.8407965
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7941210,-122.2833550,14,1898.7578114
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7941210,-122.2833550,15,1898.7578114
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7940740,-122.2859780,16,2129.8439039
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7926200,-122.2955860,17,2991.3514544
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7922970,-122.3003850,18,3415.5621741
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7923900,-122.3024770,19,3600.1134962
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7927420,-122.3045370,20,3785.7154885
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7988860,-122.3285750,21,6009.9895323
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7991570,-122.3316330,22,6280.9870221
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.7992080,-122.3334520,23,6441.2889344
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8014920,-122.3681370,24,9506.4995941
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8017290,-122.3697840,25,9653.9144897
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8100610,-122.3950070,26,12059.9650998
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8146190,-122.4092860,27,13415.2757193
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8146610,-122.4111310,28,13577.8005159
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8139910,-122.4126440,29,13730.3752906
81aabf91-8bdd-4dc1-9fd6-02cfa73e1c48,37.8116640,-122.4139370,30,14012.6374128
